name,number,sex,year
Oliver,555,Male,2023
Noah,537,Male,2023
Leo,409,Male,2023
Henry,404,Male,2023
Theodore,400,Male,2023
Luca,398,Male,2023
Hudson,385,Male,2023
William,371,Male,2023
Lucas,322,Male,2023
Charlie,308,Male,2023
Jack,302,Male,2023
James,279,Male,2023
Thomas,274,Male,2023
Levi,274,Male,2023
Liam,256,Male,2023
Elijah,254,Male,2023
Archie,237,Male,2023
Alexander,236,Male,2023
Arlo,227,Male,2023
Kai,217,Male,2023
Hugo,215,Male,2023
Cooper,214,Male,2023
Max,213,Male,2023
Hunter,205,Male,2023
George,205,Male,2023
Oscar,203,Male,2023
Sebastian,200,Male,2023
Harrison,200,Male,2023
Ethan,200,Male,2023
Harvey,196,Male,2023
Jacob,196,Male,2023
Arthur,195,Male,2023
Isaac,194,Male,2023
Mason,187,Male,2023
Joseph,178,Male,2023
Muhammad,174,Male,2023
Xavier,173,Male,2023
Beau,173,Male,2023
Samuel,171,Male,2023
Lachlan,171,Male,2023
Harry,169,Male,2023
Austin,169,Male,2023
Benjamin,167,Male,2023
Theo,166,Male,2023
Finn,163,Male,2023
Leon,157,Male,2023
Louis,156,Male,2023
Jasper,156,Male,2023
Archer,156,Male,2023
Sonny,152,Male,2023
Gabriel,150,Male,2023
Ryan,145,Male,2023
Jordan,139,Male,2023
Edward,138,Male,2023
Daniel,132,Male,2023
Eli,131,Male,2023
Luka,127,Male,2023
Felix,127,Male,2023
Elias,126,Male,2023
Roman,124,Male,2023
Patrick,122,Male,2023
Miles,121,Male,2023
Ezra,121,Male,2023
Jude,119,Male,2023
Koa,118,Male,2023
Billy,118,Male,2023
Adam,118,Male,2023
Riley,117,Male,2023
Aiden,115,Male,2023
Angus,114,Male,2023
Lennox,112,Male,2023
Jackson,110,Male,2023
Reuben,109,Male,2023
Leonardo,108,Male,2023
River,106,Male,2023
Lincoln,105,Male,2023
Alfie,104,Male,2023
Charles,103,Male,2023
Isaiah,102,Male,2023
Carter,102,Male,2023
Jayden,100,Male,2023
Michael,98,Male,2023
Darcy,96,Male,2023
Tommy,95,Male,2023
Matthew,93,Male,2023
Zachary,92,Male,2023
Luke,92,Male,2023
Ari,92,Male,2023
Remy,91,Male,2023
Logan,91,Male,2023
Bodhi,91,Male,2023
Flynn,90,Male,2023
Spencer,89,Male,2023
Parker,89,Male,2023
Mateo,89,Male,2023
Joshua,89,Male,2023
Zayn,88,Male,2023
Marcus,88,Male,2023
Asher,88,Male,2023
Ali,87,Male,2023
Isla,403,Female,2023
Amelia,399,Female,2023
Olivia,381,Female,2023
Mia,347,Female,2023
Charlotte,338,Female,2023
Ava,284,Female,2023
Lily,279,Female,2023
Sophia,267,Female,2023
Evelyn,267,Female,2023
Matilda,261,Female,2023
Chloe,255,Female,2023
Harper,253,Female,2023
Ella,252,Female,2023
Zoe,246,Female,2023
Isabella,244,Female,2023
Hazel,244,Female,2023
Grace,242,Female,2023
Sienna,236,Female,2023
Willow,228,Female,2023
Sofia,226,Female,2023
Mila,211,Female,2023
Ivy,208,Female,2023
Sophie,193,Female,2023
Evie,185,Female,2023
Violet,183,Female,2023
Ellie,183,Female,2023
Ruby,182,Female,2023
Florence,182,Female,2023
Daisy,180,Female,2023
Aria,180,Female,2023
Remi,169,Female,2023
Millie,169,Female,2023
Audrey,166,Female,2023
Eleanor,157,Female,2023
Zara,156,Female,2023
Elsie,156,Female,2023
Billie,155,Female,2023
Freya,154,Female,2023
Luna,153,Female,2023
Penelope,149,Female,2023
Emilia,146,Female,2023
Maeve,145,Female,2023
Lucy,142,Female,2023
Isabelle,140,Female,2023
Georgia,137,Female,2023
Frankie,137,Female,2023
Layla,136,Female,2023
Poppy,135,Female,2023
Emily,134,Female,2023
Aurora,133,Female,2023
Scarlett,131,Female,2023
Ayla,128,Female,2023
Emma,125,Female,2023
Hannah,123,Female,2023
Delilah,119,Female,2023
Eva,118,Female,2023
Bonnie,117,Female,2023
Nora,116,Female,2023
Maya,113,Female,2023
Mackenzie,113,Female,2023
Olive,111,Female,2023
Eloise,110,Female,2023
Sadie,109,Female,2023
Abigail,107,Female,2023
Lola,102,Female,2023
Alice,102,Female,2023
Stella,99,Female,2023
Amara,98,Female,2023
Phoebe,96,Female,2023
Harriet,96,Female,2023
Elena,95,Female,2023
Summer,93,Female,2023
Rose,90,Female,2023
Hallie,90,Female,2023
Rosie,84,Female,2023
Eliana,84,Female,2023
Aaliyah,84,Female,2023
Savannah,83,Female,2023
Pippa,83,Female,2023
Maisie,83,Female,2023
Lara,81,Female,2023
Piper,80,Female,2023
Margot,80,Female,2023
Lucia,78,Female,2023
Eden,78,Female,2023
Ariana,78,Female,2023
Lottie,77,Female,2023
Elizabeth,77,Female,2023
Cleo,77,Female,2023
Maryam,76,Female,2023
Imogen,76,Female,2023
Kaia,75,Female,2023
Callie,75,Female,2023
Kiara,74,Female,2023
Thea,73,Female,2023
Bella,72,Female,2023
Valentina,71,Female,2023
Zahra,71,Female,2023
Addison,71,Female,2023
Adeline,71,Female,2023
Noah,630,Male,2022
Charlotte,430,Female,2022
Oliver,628,Male,2022
Amelia,425,Female,2022
Leo,447,Male,2022
Isla,403,Female,2022
William,427,Male,2022
Olivia,401,Female,2022
Theodore,404,Male,2022
Mia,363,Female,2022
Jack,381,Male,2022
Ava,343,Female,2022
Luca,367,Male,2022
Henry,367,Male,2022
Ella,331,Female,2022
Matilda,318,Female,2022
Thomas,348,Male,2022
Sienna,293,Female,2022
Charlie,334,Male,2022
Willow,288,Female,2022
Hudson,328,Male,2022
Chloe,286,Female,2022
Lucas,319,Male,2022
Sophia,283,Female,2022
Elijah,317,Male,2022
Grace,280,Female,2022
Archie,312,Male,2022
Harper,273,Female,2022
Liam,307,Male,2022
Lily,272,Female,2022
Levi,297,Male,2022
Isabella,269,Female,2022
James,294,Male,2022
Zoe,267,Female,2022
Alexander,271,Male,2022
Mila,243,Female,2022
Ivy,243,Female,2022
Isaac,267,Male,2022
Sebastian,243,Male,2022
Evelyn,241,Female,2022
Hugo,239,Male,2022
Hazel,238,Female,2022
Arlo,228,Male,2022
Evie,221,Female,2022
Hunter,224,Male,2022
Aria,218,Female,2022
Ethan,220,Male,2022
Sophie,214,Female,2022
Ruby,214,Female,2022
Lachlan,218,Male,2022
Max,215,Male,2022
Kai,215,Male,2022
Ellie,201,Female,2022
Violet,199,Female,2022
Oscar,214,Male,2022
George,214,Male,2022
Cooper,214,Male,2022
Audrey,198,Female,2022
Aurora,185,Female,2022
Georgia,183,Female,2022
Arthur,208,Male,2022
Zara,178,Female,2022
Harry,207,Male,2022
Sofia,175,Female,2022
Xavier,202,Male,2022
Emily,172,Female,2022
Harvey,197,Male,2022
Scarlett,171,Female,2022
Harrison,192,Male,2022
Florence,169,Female,2022
Jacob,187,Male,2022
Luna,167,Female,2022
Mason,180,Male,2022
Benjamin,180,Male,2022
Billie,163,Female,2022
Remi,161,Female,2022
Muhammad,175,Male,2022
Ayla,160,Female,2022
Theo,173,Male,2022
Layla,159,Female,2022
Emilia,159,Female,2022
Daisy,159,Female,2022
Archer,172,Male,2022
Gabriel,165,Male,2022
Leon,163,Male,2022
Lucy,156,Female,2022
Beau,159,Male,2022
Millie,155,Female,2022
Jordan,155,Male,2022
Penelope,154,Female,2022
Poppy,154,Female,2022
Eleanor,154,Female,2022
Finn,154,Male,2022
Sonny,152,Male,2022
Daniel,152,Male,2022
Adam,152,Male,2022
Maya,153,Female,2022
Maeve,152,Female,2022
Ryan,151,Male,2022
Abigail,151,Female,2022
Joseph,149,Male,2022
Isabelle,145,Female,2022
Samuel,146,Male,2022
Louis,146,Male,2022
Austin,146,Male,2022
Elsie,142,Female,2022
Alice,140,Female,2022
Freya,135,Female,2022
Roman,145,Male,2022
Jackson,145,Male,2022
Jayden,145,Male,2022
Olive,130,Female,2022
Frankie,130,Female,2022
Bonnie,128,Female,2022
Riley,143,Male,2022
Hannah,127,Female,2022
Eli,139,Male,2022
Lola,126,Female,2022
Eva,126,Female,2022
Logan,133,Male,2022
Jasper,131,Male,2022
Eloise,122,Female,2022
Michael,126,Male,2022
Edward,126,Male,2022
Emma,119,Female,2022
Sadie,110,Female,2022
Mackenzie,110,Female,2022
Luka,124,Male,2022
Lincoln,124,Male,2022
Harriet,109,Female,2022
Zachary,121,Male,2022
Leonardo,121,Male,2022
Jude,121,Male,2022
Stella,107,Female,2022
Hallie,106,Female,2022
Elena,104,Female,2022
Joshua,120,Male,2022
Billy,120,Male,2022
Bella,103,Female,2022
Savannah,99,Female,2022
Felix,119,Male,2022
Ali,119,Male,2022
Addison,96,Female,2022
Phoebe,95,Female,2022
Angus,117,Male,2022
Piper,93,Female,2022
Charles,115,Male,2022
Asher,115,Male,2022
Aiden,115,Male,2022
Summer,92,Female,2022
Rose,92,Female,2022
Imogen,92,Female,2022
Patrick,114,Male,2022
Riley,89,Female,2022
Remy,112,Male,2022
Gabriella,87,Female,2022
Eliana,87,Female,2022
Carter,111,Male,2022
Christian,108,Male,2022
Elizabeth,86,Female,2022
Aaliyah,86,Female,2022
River,106,Male,2022
Ezra,106,Male,2022
Nora,83,Female,2022
Harlow,83,Female,2022
Hamish,104,Male,2022
Nicholas,103,Male,2022
Elias,103,Male,2022
Rosie,82,Female,2022
Ariana,81,Female,2022
Bodhi,102,Male,2022
Pippa,80,Female,2022
Claire,80,Female,2022
Reuben,101,Male,2022
Connor,101,Male,2022
Eden,79,Female,2022
Flynn,99,Male,2022
Alfie,99,Male,2022
Adeline,78,Female,2022
Thea,77,Female,2022
Delilah,77,Female,2022
Vincent,98,Male,2022
Dylan,98,Male,2022
Valentina,76,Female,2022
Lara,76,Female,2022
Anastasia,76,Female,2022
Julian,97,Male,2022
Ashton,97,Male,2022
Zayn,96,Male,2022
Lennox,96,Male,2022
Charlie,75,Female,2022
Leah,73,Female,2022
Matthew,95,Male,2022
Koa,95,Male,2022
Ari,95,Male,2022
Jasmine,72,Female,2022
Elodie,72,Female,2022
Maryam,70,Female,2022
Luke,94,Male,2022
Quinn,69,Female,2022
Oliver,695,Male,2021
Olivia,493,Female,2021
Noah,633,Male,2021
Amelia,489,Female,2021
