Rank,Name,Number,Gender,Year
1,Noah,496,Male,2024
2,Oliver,462,Male,2024
3,Theodore,407,Male,2024
4,Luca,376,Male,2024
5,Henry,351,Male,2024
6,Leo,336,Male,2024
7,Hudson,321,Male,2024
8,Charlie,309,Male,2024
9,Lucas,299,Male,2024
10,Elijah,285,Male,2024
11,William,278,Male,2024
12,Thomas,270,Male,2024
13,Levi,261,Male,2024
14,Jack,251,Male,2024
15,Liam,233,Male,2024
16,Alexander,230,Male,2024
17,Archie,224,Male,2024
18,Arthur,222,Male,2024
19,Isaac,214,Male,2024
20,Kai,213,Male,2024
21,James,200,Male,2024
22,Oscar,191,Male,2024
23,Sebastian,190,Male,2024
23,Muhammad,190,Male,2024
25,George,186,Male,2024
26,Harrison,184,Male,2024
27,Max,183,Male,2024
27,Harvey,183,Male,2024
29,Cooper,182,Male,2024
30,Hugo,181,Male,2024
31,Ethan,170,Male,2024
32,Gabriel,169,Male,2024
33,Beau,168,Male,2024
34,Jacob,162,Male,2024
35,Lachlan,158,Male,2024
36,Xavier,156,Male,2024
36,Theo,156,Male,2024
38,Austin,153,Male,2024
39,Harry,151,Male,2024
39,Arlo,151,Male,2024
41,Louis,149,Male,2024
41,Archer,149,Male,2024
43,Finn,147,Male,2024
44,Benjamin,141,Male,2024
45,Joseph,138,Male,2024
45,Jasper,138,Male,2024
47,Luka,135,Male,2024
48,Jude,134,Male,2024
49,Hunter,132,Male,2024
49,Eli,132,Male,2024
49,Ezra,132,Male,2024
52,Samuel,130,Male,2024
52,Mason,130,Male,2024
54,Leon,129,Male,2024
55,Sonny,128,Male,2024
56,Edward,127,Male,2024
57,Bodhi,119,Male,2024
57,Adam,119,Male,2024
59,Miles,114,Male,2024
59,Felix,114,Male,2024
61,Ali,111,Male,2024
62,Jayden,110,Male,2024
63,Louie,109,Male,2024
63,Angus,109,Male,2024
65,Roman,107,Male,2024
66,Ryan,106,Male,2024
67,Jordan,105,Male,2024
68,Lennox,104,Male,2024
68,Daniel,104,Male,2024
70,Spencer,102,Male,2024
71,Joshua,101,Male,2024
71,Flynn,101,Male,2024
73,Riley,100,Male,2024
73,Jackson,100,Male,2024
73,Billy,100,Male,2024
76,Carter,99,Male,2024
76,Aiden,99,Male,2024
78,Patrick,97,Male,2024
79,Asher,96,Male,2024
80,Alfie,95,Male,2024
81,Isaiah,94,Male,2024
82,Logan,93,Male,2024
83,Michael,92,Male,2024
83,Ibrahim,92,Male,2024
83,Darcy,92,Male,2024
86,Vincent,91,Male,2024
87,Julian,89,Male,2024
88,Myles,88,Male,2024
88,Grayson,88,Male,2024
88,Elias,88,Male,2024
91,Matteo,87,Male,2024
91,Koa,87,Male,2024
93,Marcus,85,Male,2024
94,Lincoln,84,Male,2024
95,Caleb,82,Male,2024
96,Parker,81,Male,2024
96,Frederick,81,Male,2024
98,Rory,80,Male,2024
98,Nicholas,80,Male,2024
98,Leonardo,80,Male,2024
98,Luke,80,Male,2024
1,Charlotte,383,Female,2024
2,Amelia,367,Female,2024
3,Olivia,316,Female,2024
4,Mia,308,Female,2024
5,Isla,298,Female,2024
6,Chloe,275,Female,2024
7,Harper,268,Female,2024
8,Hazel,262,Female,2024
9,Evelyn,259,Female,2024
10,Sophia,258,Female,2024
11,Lily,238,Female,2024
12,Sienna,226,Female,2024
13,Isabella,221,Female,2024
13,Ella,221,Female,2024
15,Matilda,220,Female,2024
16,Ava,216,Female,2024
17,Mila,215,Female,2024
18,Grace,211,Female,2024
19,Sofia,205,Female,2024
20,Ivy,195,Female,2024
21,Audrey,194,Female,2024
22,Ruby,190,Female,2024
23,Sophie,183,Female,2024
24,Aria,179,Female,2024
25,Ellie,176,Female,2024
26,Willow,174,Female,2024
26,Zoe,174,Female,2024
28,Violet,167,Female,2024
29,Daisy,163,Female,2024
30,Layla,160,Female,2024
31,Lucy,159,Female,2024
32,Eleanor,156,Female,2024
32,Billie,156,Female,2024
34,Millie,155,Female,2024
34,Evie,155,Female,2024
36,Florence,153,Female,2024
37,Elsie,150,Female,2024
38,Maya,148,Female,2024
39,Penelope,144,Female,2024
40,Aurora,143,Female,2024
41,Freya,139,Female,2024
42,Ayla,136,Female,2024
43,Emilia,132,Female,2024
44,Poppy,130,Female,2024
44,Maeve,130,Female,2024
46,Hallie,126,Female,2024
46,Eliana,126,Female,2024
46,Bonnie,126,Female,2024
49,Georgia,122,Female,2024
49,Eloise,122,Female,2024
51,Abigail,120,Female,2024
52,Luna,115,Female,2024
53,Scarlett,114,Female,2024
54,Frankie,112,Female,2024
54,Emily,112,Female,2024
56,Isabelle,111,Female,2024
57,Zara,108,Female,2024
57,Eden,108,Female,2024
59,Remi,106,Female,2024
60,Hannah,103,Female,2024
61,Stella,101,Female,2024
61,Lola,101,Female,2024
63,Phoebe,100,Female,2024
63,Olive,100,Female,2024
65,Delilah,99,Female,2024
66,Alice,98,Female,2024
67,Nora,97,Female,2024
67,Harriet,97,Female,2024
69,Emma,95,Female,2024
70,Mackenzie,93,Female,2024
71,Sadie,92,Female,2024
72,Lucia,91,Female,2024
73,Rosie,90,Female,2024
73,Kaia,90,Female,2024
73,Eva,90,Female,2024
76,Elodie,89,Female,2024
77,Pippa,88,Female,2024
78,Adeline,87,Female,2024
79,Maisie,84,Female,2024
80,Lyla,82,Female,2024
81,Rose,80,Female,2024
82,Riley,78,Female,2024
82,Amara,78,Female,2024
84,Summer,77,Female,2024
84,Imogen,77,Female,2024
84,Elizabeth,77,Female,2024
87,Anastasia,76,Female,2024
88,Valentina,73,Female,2024
88,Piper,73,Female,2024
88,Margot,73,Female,2024
91,Savannah,70,Female,2024
91,Aaliyah,70,Female,2024
93,Leah,69,Female,2024
93,Elena,69,Female,2024
95,Lara,67,Female,2024
95,Jasmine,67,Female,2024
95,Ariana,67,Female,2024
95,Bella,67,Female,2024
95,Addison,67,Female,2024
100,Lottie,66,Female,2024
100,Alina,66,Female,2024
1,OLIVER,555,Male,2023
2,NOAH,537,Male,2023
3,LEO,409,Male,2023
4,HENRY,404,Male,2023
5,THEODORE,400,Male,2023
6,LUCA,398,Male,2023
7,HUDSON,385,Male,2023
8,WILLIAM,371,Male,2023
9,LUCAS,322,Male,2023
10,CHARLIE,308,Male,2023
11,JACK,302,Male,2023
12,JAMES,279,Male,2023
13,THOMAS,274,Male,2023
13,LEVI,274,Male,2023
15,LIAM,256,Male,2023
16,ELIJAH,254,Male,2023
17,ARCHIE,237,Male,2023
18,ALEXANDER,236,Male,2023
19,ARLO,227,Male,2023
20,KAI,217,Male,2023
21,HUGO,215,Male,2023
22,COOPER,214,Male,2023
23,MAX,213,Male,2023
24,HUNTER,205,Male,2023
24,GEORGE,205,Male,2023
26,OSCAR,203,Male,2023
27,SEBASTIAN,200,Male,2023
27,HARRISON,200,Male,2023
27,ETHAN,200,Male,2023
30,HARVEY,196,Male,2023
30,JACOB,196,Male,2023
32,ARTHUR,195,Male,2023
33,ISAAC,194,Male,2023
34,MASON,187,Male,2023
35,JOSEPH,178,Male,2023
36,MUHAMMAD,174,Male,2023
37,XAVIER,173,Male,2023
37,BEAU,173,Male,2023
39,SAMUEL,171,Male,2023
39,LACHLAN,171,Male,2023
