Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Ella,371,Jack,641
Emily,370,Lachlan,512
Charlotte,344,Joshua,449
Chloe,343,William,432
Mia,294,Thomas,392
Grace,283,Ethan,347
Sophie,282,Ryan,330
Olivia,250,Samuel,325
Isabella,242,Cooper,320
Lily,239,Matthew,302
Jessica,232,Noah,295
Sienna,214,Liam,288
Hannah,204,Riley,274
Sarah,203,Benjamin,261
Emma,200,James,258
Georgia,198,Daniel,254
Madison,193,Jacob,253
Jasmine,184,Alexander,243
Ava,183,Harrison,238
Amelia,173,Nicholas,227
Hayley,168,Luke,212
Zoe,159,Connor,210
Ruby,151,Jackson,208
Holly,146,Bailey,207
Jade,139,Dylan,202
Lucy,138,Mitchell,194
Paige,134,Jordan,191
Amy,134,Jake,190
Chelsea,133,Blake,185
Caitlin,129,Oliver,184
Maddison,121,Jayden,180
Lilly,120,Hayden,178
Amber,104,Seth,177
Tahlia,101,Max,171
Summer,101,Lucas,169
Bella,100,Zachary,164
Kate,98,Tyler,164
Lauren,96,Isaac,161
Brooke,96,Charlie,157
Alyssa,94,Caleb,156
Isabelle,91,Harry,138
Lara,89,Michael,137
Sophia,87,Joseph,131
Abigail,87,Xavier,126
Molly,86,Cody,125
Mackenzie,84,Kai,124
Kayla,84,Logan,123
Laura,83,Nathan,120
Jorja,83,Alex,120
Abbey,82,Jesse,117
Claire,82,Angus,112
Samantha,80,Hunter,109
Elizabeth,78,Jett,108
Imogen,78,Cameron,107
Brianna,76,Patrick,105
Madeline,74,Oscar,104
Eva,73,Andrew,103
Dakota,73,Elijah,98
Layla,71,Corey,93
Matilda,69,Dominic,90
Mikayla,68,Sebastian,89
Stephanie,67,Christopher,89
Alice,67,Toby,88
Ebony,67,Christian,86
Zara,66,Declan,85
Skye,66,Aiden,81
Taylah,66,Adam,80
Abby,66,Zane,79
Ellie,64,Kyle,79
Erin,64,Levi,78
Tia,63,Flynn,78
Katie,62,Callum,78
Maya,61,Aidan,78
Gabrielle,61,Joel,77
Bianca,61,Brodie,77
Tayla,60,Zac,76
Keira,58,Mason,76
Kiara,58,Henry,76
Alexandra,57,Finn,75
Phoebe,56,David,74
Piper,56,Jai,73
Alexis,56,Darcy,73
Rebecca,55,Ashton,72
Gemma,55,Brock,71
Evie,54,John,70
Ashlee,52,Brandon,68
Scarlett,51,Beau,67
Makayla,51,Tyson,65
Trinity,50,Hamish,65
Kaitlyn,50,Tristan,62
Kirra,50,Lincoln,61
Charli,50,Brayden,61
Ashley,50,Tom,60
Ashleigh,50,Sean,59
Savannah,49,Rhys,56
Taylor,49,Robert,54
Katelyn,49,Byron,54
Natalie,48,Anthony,54
Annabelle,48,Charles,54
Bethany,48,Sam,53
,,Will,53
,,Jonathan,53
,,,
