Name,Sex,Year,Count
JASON,Male,1972,1017
JASON,Male,1973,957
JASON,Male,1971,912
PETER,Male,1961,899
MATTHEW,Male,1990,888
DAVID,Male,1962,883
PETER,Male,1960,878
MATTHEW,Male,1989,877
DAVID,Male,1963,874
DAVID,Male,1964,867
PETER,Male,1963,847
DAVID,Male,1965,826
MATTHEW,Male,1984,813
DAVID,Male,1961,810
DAVID,Male,1969,810
MATTHEW,Male,1986,807
JESSICA,Female,1990,805
MATTHEW,Male,1985,799
JESSICA,Female,1991,792
DAVID,Male,1967,782
PETER,Male,1962,778
MICHAEL,Male,1971,768
MICHAEL,Male,1975,767
MATTHEW,Male,1991,761
PETER,Male,1964,760
MICHAEL,Male,1962,754
JASON,Male,1974,750
DAVID,Male,1970,747
MICHAEL,Male,1974,747
JESSICA,Female,1992,745
MICHAEL,Male,1972,745
DAVID,Male,1968,734
MATTHEW,Male,1987,733
MATTHEW,Male,1992,728
MATTHEW,Male,1983,724
DAVID,Male,1966,723
CHRISTOPHER,Male,1984,719
MARK,Male,1963,719
JOSHUA,Male,1995,718
MICHAEL,Male,1963,718
MICHAEL,Male,1961,717
MICHAEL,Male,1967,717
MATTHEW,Male,1988,716
DANIEL,Male,1983,714
DAVID,Male,1971,713
JOSHUA,Male,1996,711
MATTHEW,Male,1982,711
MICHAEL,Male,1973,711
CHRISTOPHER,Male,1986,705
MARK,Male,1962,702
MICHAEL,Male,1976,702
MARK,Male,1961,700
MICHAEL,Male,1965,697
CHRISTOPHER,Male,1985,696
MICHAEL,Male,1969,696
MICHAEL,Male,1970,694
DAVID,Male,1972,693
DAVID,Male,1960,692
DANIEL,Male,1990,687
MICHAEL,Male,1964,685
JOHN,Male,1960,684
MATTHEW,Male,1993,684
MICHAEL,Male,1983,683
MICHAEL,Male,1968,680
JESSICA,Female,1989,678
PETER,Male,1965,675
MARK,Male,1960,671
MICHAEL,Male,1977,671
JOHN,Male,1963,670
JOHN,Male,1961,669
JESSICA,Female,1993,667
MICHAEL,Male,1979,666
DANIEL,Male,1984,665
DANIEL,Male,1988,665
MICHAEL,Male,1960,665
MICHAEL,Male,1982,665
CHRISTOPHER,Male,1983,661
CHRISTOPHER,Male,1987,661
MICHAEL,Male,1984,660
JOHN,Male,1964,658
JOSHUA,Male,1993,656
JOSHUA,Male,1994,654
DAVID,Male,1983,652
MICHAEL,Male,1966,650
MATTHEW,Male,1981,649
MICHAEL,Male,1981,648
DAVID,Male,1974,643
JOSHUA,Male,1992,641
KAREN,Female,1965,639
JACK,Male,2005,634
JASON,Male,1975,634
PETER,Male,1967,628
JOHN,Male,1962,626
MICHAEL,Male,1980,626
DANIEL,Male,1989,623
JASON,Male,1970,623
JOSHUA,Male,1997,621
MARK,Male,1964,621
DANIEL,Male,1985,618
MICHAEL,Male,1978,617
PETER,Male,1966,616
CHRISTOPHER,Male,1982,615
CHRISTOPHER,Male,1990,615
JOSHUA,Male,1989,612
JOSHUA,Male,1990,612
DANIEL,Male,1986,611
JOHN,Male,1965,610
CHRISTOPHER,Male,1988,609
DANIEL,Male,1982,608
JESSICA,Female,1988,608
LACHLAN,Male,1999,608
MATTHEW,Male,1994,608
DANIEL,Male,1987,606
DAVID,Male,1982,606
DAVID,Male,1973,605
JOSHUA,Male,2000,604
DANIEL,Male,1991,603
JOSHUA,Male,1991,603
MATTHEW,Male,1977,602
LACHLAN,Male,2002,598
PAUL,Male,1964,598
PAUL,Male,1969,596
CHRISTOPHER,Male,1989,593
JOSHUA,Male,1998,591
MARK,Male,1965,590
MICHAEL,Male,1985,590
JOSHUA,Male,2001,587
DANIEL,Male,1981,585
MATTHEW,Male,1978,583
JACK,Male,2004,582
JESSICA,Female,1994,582
JESSICA,Female,1996,582
PAUL,Male,1968,582
DANIEL,Male,1980,581
DANIEL,Male,1993,579
MARK,Male,1966,579
JOSHUA,Male,2002,575
MATTHEW,Male,1995,573
DANIEL,Male,1992,572
DAVID,Male,1984,569
DAVID,Male,1976,568
JACK,Male,2001,567
PETER,Male,1968,567
DAVID,Male,1975,566
PAUL,Male,1966,566
MICHAEL,Male,1986,565
MICHAEL,Male,1987,565
MICHAEL,Male,1990,565
MICHAEL,Male,1988,563
DAVID,Male,1980,562
JOSHUA,Male,1999,562
PETER,Male,1969,562
JACK,Male,2000,555
JESSICA,Female,1995,554
JOSHUA,Male,2003,554
PAUL,Male,1967,554
DAVID,Male,1979,553
JOHN,Male,1967,552
DAVID,Male,1981,550
ANDREW,Male,1981,549
MARK,Male,1971,549
ANDREW,Male,1969,548
JACK,Male,1998,548
MATTHEW,Male,1975,548
LACHLAN,Male,1998,547
LACHLAN,Male,2003,547
ANDREW,Male,1971,545
MARK,Male,1968,544
MARK,Male,1970,544
SARAH,Female,1986,543
DANIEL,Male,1994,542
DAVID,Male,1977,542
JESSICA,Female,1985,541
LACHLAN,Male,2000,541
LACHLAN,Male,2001,541
MATTHEW,Male,1979,541
LACHLAN,Male,2005,540
JACK,Male,2002,538
JESSICA,Female,1987,537
KAREN,Female,1963,537
DAVID,Male,1978,535
MATTHEW,Male,1996,535
REBECCA,Female,1982,535
ANDREW,Male,1982,534
PAUL,Male,1965,533
MARK,Male,1967,532
PAUL,Male,1970,532
JOSHUA,Male,1988,529
MATTHEW,Male,1997,529
BENJAMIN,Male,1992,527
BENJAMIN,Male,1981,525
BENJAMIN,Male,1990,525
PAUL,Male,1971,525
JESSICA,Female,1986,521
MICHAEL,Male,1992,520
THOMAS,Male,1999,519
REBECCA,Female,1983,518
KAREN,Female,1964,517
CHRISTOPHER,Male,1974,516
DAVID,Male,1985,516
ANDREW,Male,1983,515
BENJAMIN,Male,1989,515
ANDREW,Male,1970,514
DANIEL,Male,1995,514
PAUL,Male,1972,514
BENJAMIN,Male,1983,513
JOSHUA,Male,1985,512
ROBERT,Male,1963,512
JACK,Male,2003,511
JASON,Male,1976,511
JOHN,Male,1966,511
JACK,Male,1999,509
KAREN,Female,1966,509
PETER,Male,1970,509
MICHAEL,Male,1991,507
ROBERT,Male,1961,507
JOHN,Male,1968,506
STEPHEN,Male,1961,506
CHRISTOPHER,Male,1973,505
CHRISTOPHER,Male,1981,505
KAREN,Female,1962,504
MATTHEW,Male,1976,502
STEPHEN,Male,1962,501
BENJAMIN,Male,1991,500
CHRISTOPHER,Male,1991,500
JOHN,Male,1969,500
MATTHEW,Male,1980,500
MICHAEL,Male,1989,500
BENJAMIN,Male,1984,498
JAMES,Male,1992,497
ROBERT,Male,1964,495
MARK,Male,1969,494
KAREN,Female,1968,493
ANDREW,Male,1972,491
LACHLAN,Male,2004,491
REBECCA,Female,1984,490
ANDREW,Male,1980,489
STEPHEN,Male,1963,489
CHRISTOPHER,Male,1992,488
MARK,Male,1972,488
ANDREW,Male,1973,487
MICHAEL,Male,1993,486
MICHELLE,Female,1970,486
STEPHEN,Male,1960,486
ANDREW,Male,1974,485
KAREN,Female,1967,485
ANDREW,Male,1968,484
DANIEL,Male,1979,484
KAREN,Female,1961,483
ANDREW,Male,1978,481
LUKE,Male,1985,481
SARAH,Female,1992,481
JACK,Male,1997,480
JOSHUA,Male,2004,480
PETER,Male,1971,480
AMANDA,Female,1981,479
BENJAMIN,Male,1982,478
ANDREW,Male,1984,476
ROBERT,Male,1965,476
JOSHUA,Male,1986,475
SHANE,Male,1972,475
DAVID,Male,1986,474
ETHAN,Male,2002,474
MATTHEW,Male,1974,474
DANIEL,Male,1996,473
LUKE,Male,1984,473
DANIEL,Male,1978,472
ROBERT,Male,1960,472
ANDREW,Male,1976,470
JACK,Male,1996,469
REBECCA,Female,1981,469
ANDREW,Male,1979,468
CHRISTOPHER,Male,1972,468
CHRISTOPHER,Male,1975,467
PAUL,Male,1962,467
PAUL,Male,1973,467
PAUL,Male,1974,467
CHRISTOPHER,Male,1979,466
JESSICA,Female,1984,466
ROBERT,Male,1962,466
SARAH,Female,1985,466
DANIEL,Male,1997,465
MATTHEW,Male,1998,465
MICHELLE,Female,1969,465
MICHELLE,Female,1974,465
ROBERT,Male,1969,465
SARAH,Female,1990,464
BENJAMIN,Male,1988,463
ANTHONY,Male,1970,462
ANTHONY,Male,1971,462
ROBERT,Male,1966,462
SARAH,Female,1989,462
ANDREW,Male,1986,461
MICHAEL,Male,1994,461
JAMES,Male,1990,460
JAMES,Male,1989,459
JESSICA,Female,1997,459
MARK,Male,1973,458
CHRISTOPHER,Male,1980,457
BENJAMIN,Male,1987,456
MARK,Male,1974,456
ROBERT,Male,1970,456
SARAH,Female,1988,456
KAREN,Female,1969,455
MATTHEW,Male,1999,455
SARAH,Female,1984,455
THOMAS,Male,2000,455
PAUL,Male,1961,454
ANDREW,Male,1985,453
ANDREW,Male,1990,453
BENJAMIN,Male,1986,453
JOHN,Male,1970,452
SARAH,Female,1987,452
SCOTT,Male,1973,452
ROBERT,Male,1971,451
JAMES,Male,1993,450
JOHN,Male,1971,450
MICHELLE,Female,1971,450
DANIEL,Male,1976,449
GREGORY,Male,1960,449
EMMA,Female,1989,447
JOSHUA,Male,1983,447
MICHELLE,Female,1968,447
PAUL,Male,1963,447
PETER,Male,1972,447
ANDREW,Male,1975,446
KAREN,Female,1960,446
NICHOLAS,Male,1992,446
THOMAS,Male,2001,445
MITCHELL,Male,1994,444
BENJAMIN,Male,1994,443
GREGORY,Male,1962,443
JACK,Male,1995,443
NICHOLAS,Male,1994,443
REBECCA,Female,1985,443
BENJAMIN,Male,1993,442
DANIEL,Male,1977,442
EMILY,Female,1998,441
JOSHUA,Male,1987,439
CHRISTOPHER,Male,1976,438
LUKE,Male,1982,438
MATTHEW,Male,2000,438
NICHOLAS,Male,1993,438
ROBERT,Male,1967,437
LUKE,Male,1983,436
LUKE,Male,1993,436
PAUL,Male,1960,436
JAMES,Male,1991,435
BENJAMIN,Male,1985,434
JACK,Male,1994,434
SARAH,Female,1991,434
CHRISTOPHER,Male,1977,433
MICHELLE,Female,1972,433
SUSAN,Female,1961,433
ANDREW,Male,1987,432
DANIEL,Male,1975,432
LACHLAN,Male,1997,432
SARAH,Female,1982,431
DARREN,Male,1968,430
JASON,Male,1977,430
AMANDA,Female,1982,429
ANTHONY,Male,1972,429
GREGORY,Male,1961,429
SCOTT,Male,1974,429
SUSAN,Female,1962,429
DARREN,Male,1967,428
JAMES,Male,1994,428
MATTHEW,Male,1973,428
ANDREW,Male,1988,427
REBECCA,Female,1980,427
BENJAMIN,Male,1980,426
CHRISTOPHER,Male,1978,426
SAMUEL,Male,1998,426
JAMES,Male,1995,425
ANDREW,Male,1977,424
EMILY,Female,1996,423
EMILY,Female,2002,423
LUKE,Male,1981,423
LUKE,Male,1986,423
SHANE,Male,1971,423
DARREN,Male,1969,422
JAMES,Male,1988,422
ROBERT,Male,1968,422
ETHAN,Male,2004,421
SUSAN,Female,1963,421
JOSHUA,Male,2005,419
PETER,Male,1973,419
ANTHONY,Male,1967,418
SUSAN,Female,1964,417
SUSAN,Female,1960,416
EMILY,Female,2003,415
JAMES,Male,1986,415
SARAH,Female,1983,415
SCOTT,Male,1971,415
ANDREW,Male,1967,414
ANDREW,Male,1991,414
JESSICA,Female,1998,414
THOMAS,Male,1995,414
DAVID,Male,1988,413
ETHAN,Male,2003,413
JOSHUA,Male,1984,413
MICHELLE,Female,1973,413
THOMAS,Male,1997,412
CHRISTOPHER,Male,1971,411
JACOB,Male,2000,411
EMMA,Female,1990,410
MITCHELL,Male,1993,409
ANTHONY,Male,1969,408
BENJAMIN,Male,1978,408
DANIEL,Male,1998,408
EMILY,Female,1999,408
LUKE,Male,1991,408
MICHELLE,Female,1976,408
SAMUEL,Male,1997,408
SARAH,Female,1995,407
SHANE,Male,1973,407
ANTHONY,Male,1965,406
JACOB,Male,1999,406
EMILY,Female,2000,405
