Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,408,Oliver,510
Ava,350,William,417
Isla,312,Jack,387
Olivia,306,Noah,373
Amelia,283,Henry,301
Mia,261,Harrison,285
Harper,259,Thomas,271
Willow,253,Leo,260
Grace,229,Archer,259
Evelyn,225,Theodore,254
Isabella,216,Hunter,252
Sophie,213,Hudson,250
Ella,210,Cooper,249
Matilda,207,Alexander,249
Ruby,199,Lucas,240
Evie,197,Charlie,240
Ivy,196,James,238
Chloe,191,Elijah,222
Georgia,190,Liam,213
Lucy,185,Mason,208
Emily,182,Levi,203
Sophia,177,Lachlan,201
Aria,175,Ethan,197
Hannah,167,Lincoln,196
Layla,159,Harry,194
Lily,153,Archie,188
Zoe,152,Arlo,184
Scarlett,149,Carter,180
Abigail,149,Samuel,179
Frankie,147,Jackson,168
Sienna,136,Eli,166
Emma,135,Benjamin,166
Mila,134,Ryan,165
Zara,133,Max,160
Isabelle,130,Connor,155
Alice,123,Riley,154
Poppy,117,George,152
Penelope,114,Jacob,149
Aurora,111,Xavier,148
Violet,110,Jaxon,148
Mackenzie,109,Oscar,147
Elizabeth,100,Sebastian,141
Eva,100,Finn,139
Eleanor,97,Isaac,139
Savannah,96,Harvey,138
Stella,94,Luca,133
Thea,93,Joseph,133
Ellie,93,Joshua,133
Florence,93,Hugo,124
Audrey,93,Edward,124
Maddison,92,Tyler,123
Elsie,92,Patrick,117
Summer,90,Ashton,117
Piper,89,Jasper,113
Rose,88,Kai,111
Alexis,88,Austin,109
Hazel,86,Michael,108
Harriet,85,Blake,106
Luna,84,Logan,103
Addison,84,Darcy,99
Sofia,81,Nate,97
Peyton,81,Wyatt,95
Freya,81,Flynn,95
Emilia,79,Sonny,94
Ayla,78,Asher,94
Annabelle,77,Theo,92
Claire,77,Arthur,90
Lilly,76,Charles,90
Imogen,75,Luke,88
Millie,74,Chase,87
Adeline,74,Beau,87
Daisy,74,Daniel,86
Phoebe,73,Spencer,84
Quinn,70,Parker,84
Madison,70,Jayden,84
Eloise,70,Louis,83
Jasmine,69,Ezra,83
Holly,68,Braxton,82
Harlow,65,Angus,81
Olive,64,Jordan,78
Chelsea,64,Fletcher,78
Brooklyn,63,Ryder,77
Bella,63,Vincent,77
Lola,62,Hamish,77
Anna,62,Dominic,74
Paige,61,Matthew,73
Pippa,61,Reuben,70
Charlie,61,Hayden,70
Aaliyah,60,Caleb,70
Bonnie,59,Toby,69
Sarah,56,Owen,69
Heidi,56,Phoenix,69
Hayley,55,Jake,68
Billie,55,Dylan,67
Indiana,54,John,66
Eden,54,Aiden,65
Maya,53,Maxwell,64
Clara,53,Hugh,64
Delilah,53,Grayson,63
Nevaeh,52,Lewis,62
Maggie,52,,
Nevaeh,52,,
Elena,52,,
