Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Olivia,313,Oliver,537
Charlotte,312,William,393
Amelia,305,Noah,383
Willow,293,Jack,331
Ava,286,Henry,291
Isla,279,Leo,289
Mia,261,Thomas,285
Harper,241,Hudson,270
Grace,231,Elijah,268
Matilda,219,Harrison,265
Ivy,215,James,256
Isabella,210,Charlie,246
Sophie,208,Theodore,245
Ella,207,Lucas,239
Ruby,205,Hunter,239
Evie,198,Liam,238
Sophia,181,Cooper,225
Evelyn,181,Archer,225
Emily,178,Mason,222
Georgia,178,Archie,203
Chloe,173,Lachlan,202
Layla,165,Lincoln,194
Aria,164,Oscar,193
Mila,154,Alexander,192
Abigail,153,Harry,184
Zoe,151,Harvey,184
Lucy,151,Carter,182
Sienna,150,Arlo,182
Lily,146,Max,180
Scarlett,142,Levi,177
Frankie,142,Samuel,174
Violet,131,Ethan,173
Zara,124,Luca,168
Penelope,124,Riley,165
Hannah,122,George,161
Aurora,121,Benjamin,159
Emma,120,Jaxon,148
Hazel,117,Xavier,145
Ellie,114,Eli,143
Isabelle,111,Jacob,141
Alice,111,Jackson,140
Audrey,109,Edward,140
Summer,108,Finn,137
Poppy,107,Ryan,135
Mackenzie,107,Sebastian,134
Luna,102,Flynn,134
Savannah,99,Arthur,133
Elsie,98,Isaac,129
Sofia,94,Joseph,123
Eva,94,Kai,120
Piper,93,Patrick,117
Stella,92,Jasper,108
Freya,91,Connor,108
Lilly,87,Hugo,107
Harriet,87,Austin,102
Phoebe,84,Joshua,101
Eleanor,84,Beau,101
Claire,84,Ashton,98
Lola,83,Vincent,97
Imogen,83,Theo,97
Florence,83,Louis,96
Elizabeth,83,Daniel,94
Eloise,83,Grayson,91
Millie,82,Ezra,91
Ayla,81,Tyler,90
Daisy,76,Sonny,90
Charlie,73,Michael,90
Thea,71,Darcy,90
Emilia,71,Nate,89
Maddison,69,Jordan,89
Jasmine,69,Hamish,87
Heidi,69,Caleb,87
Maya,68,Fletcher,86
Annabelle,68,Ryder,85
Bella,67,Angus,84
Delilah,67,Ari,84
Rose,66,Spencer,82
Peyton,66,Luke,81
Olive,64,Blake,81
Madison,64,Matthew,80
Maisie,64,Billy,80
Aaliyah,64,Roman,79
Addison,64,Braxton,79
Bonnie,64,Wyatt,78
Sarah,63,Logan,78
Paige,61,Aiden,78
Lacey,60,Chase,78
Eden,60,Zachary,77
Chelsea,60,Asher,77
Sadie,59,Felix,76
Aubrey,58,Charles,75
Remi,57,Parker,74
Nevaeh,57,Toby,71
Maggie,57,Jayden,71
Adeline,57,River,69
Pippa,56,Phoenix,69
Hayley,56,Jake,67
Brooklyn,56,Owen,66
Madeline,55,Lennox,65
Lillian,55,Bodhi,63
Alexis,55,,
