"","name","number","sex","year"
"1","Oliver",451,"Male",2023
"2","Noah",385,"Male",2023
"3","Henry",341,"Male",2023
"4","Theodore",328,"Male",2023
"5","Hudson",322,"Male",2023
"6","William",269,"Male",2023
"7","Leo",262,"Male",2023
"8","Luca",259,"Male",2023
"9","Charlie",246,"Male",2023
"10","Jack",244,"Male",2023
"11","Thomas",233,"Male",2023
"12","James",212,"Male",2023
"13","Elijah",208,"Male",2023
"14","Levi",207,"Male",2023
"15","Arthur",197,"Male",2023
"16","Harrison",196,"Male",2023
"17","Arlo",193,"Male",2023
"18","Harvey",187,"Male",2023
"19","Cooper",181,"Male",2023
"20","Archie",178,"Male",2023
"21","George",156,"Male",2023
"22","Carter",156,"Male",2023
"23","Theo",153,"Male",2023
"24","Lucas",152,"Male",2023
"25","Kai",149,"Male",2023
"26","Hunter",144,"Male",2023
"27","Hugo",141,"Male",2023
"28","Oscar",140,"Male",2023
"29","Max",138,"Male",2023
"30","Liam",138,"Male",2023
"31","Archer",138,"Male",2023
"32","Alexander",134,"Male",2023
"33","Xavier",128,"Male",2023
"34","Harry",125,"Male",2023
"35","Sonny",124,"Male",2023
"36","Sebastian",117,"Male",2023
"37","Lincoln",117,"Male",2023
"38","Austin",117,"Male",2023
"39","Ezra",115,"Male",2023
"40","Beau",114,"Male",2023
"41","Finn",112,"Male",2023
"42","Benjamin",111,"Male",2023
"43","Samuel",110,"Male",2023
"44","Mason",109,"Male",2023
"45","Patrick",109,"Male",2023
"46","Eli",109,"Male",2023
"47","Riley",107,"Male",2023
"48","Lachlan",106,"Male",2023
"49","Miles",103,"Male",2023
"50","Fletcher",103,"Male",2023
"51","Jasper",101,"Male",2023
"52","Luka",97,"Male",2023
"53","Billy",96,"Male",2023
"54","Parker",95,"Male",2023
"55","Louis",95,"Male",2023
"56","Edward",95,"Male",2023
"57","Spencer",92,"Male",2023
"58","Grayson",92,"Male",2023
"59","Ethan",92,"Male",2023
"60","Isaac",88,"Male",2023
"61","Alfie",87,"Male",2023
"62","Koa",85,"Male",2023
"63","Jackson",85,"Male",2023
"64","Angus",81,"Male",2023
"65","Ollie",80,"Male",2023
"66","Louie",80,"Male",2023
"67","Myles",79,"Male",2023
"68","Hamish",79,"Male",2023
"69","Lennox",79,"Male",2023
"70","Reuben",76,"Male",2023
"71","Asher",76,"Male",2023
"72","Maverick",75,"Male",2023
"73","Jaxon",75,"Male",2023
"74","Felix",74,"Male",2023
"75","Flynn",73,"Male",2023
"76","Bodhi",73,"Male",2023
"77","Ryan",72,"Male",2023
"78","Ryder",72,"Male",2023
"79","Vincent",71,"Male",2023
"80","Michael",71,"Male",2023
"81","Jordan",71,"Male",2023
"82","Jacob",70,"Male",2023
"83","Roman",69,"Male",2023
"84","Darcy",69,"Male",2023
"85","Tommy",68,"Male",2023
"86","Wyatt",68,"Male",2023
