Girl Names,Count of Girl Names,Boy Names,Count of Boy Names
Charlotte,319,Oliver,445
Isla,260,Theodore,344
Olivia,259,Noah,341
Amelia,248,Henry,328
Matilda,206,Hudson,316
Harper,206,Luca,268
Mia,201,Leo,253
Hazel,196,William,251
Willow,194,Charlie,235
Grace,192,Jack,233
Ivy,188,Elijah,222
Evelyn,173,Arthur,205
Violet,168,Levi,200
Ruby,164,Thomas,196
Ella,162,James,189
Daisy,159,Lucas,183
Ava,157,Archer,177
Sophie,155,Archie,176
Lily,154,George,173
Sophia,153,Harvey,172
Lucy,150,Harrison,166
Ellie,146,Cooper,166
Isabella,144,Hugo,154
Mila,140,Oscar,152
Layla,132,Alexander,151
Millie,130,Beau,144
Eleanor,125,Arlo,143
Freya,125,Hunter,142
Poppy,121,Kai,142
Remi,121,Theo,139
Elsie,120,Harry,138
Eloise,118,Ezra,136
Mackenzie,116,Liam,132
Aurora,116,Carter,130
Sienna,115,Austin,123
Lainey,114,Lachlan,122
Maeve,112,Sebastian,118
Luna,111,Lincoln,113
Zoe,109,Eli,113
Evie,109,Patrick,108
Billie,109,Edward,106
Penelope,105,Samuel,105
Aria,105,Riley,104
Florence,103,Benjamin,104
Sadie,101,Xavier,102
Frankie,100,Louis,101
Delilah,100,Mason,101
Audrey,100,Parker,101
Hallie,99,Jackson,100
Chloe,99,Max,99
Sofia,98,Ethan,99
Scarlett,96,Sonny,98
Bonnie,96,Wyatt,97
Eden,90,Billy,97
Abigail,90,Miles,96
Georgia,87,Luka,96
Summer,85,Fletcher,96
Isabelle,84,Koa,96
Maisie,83,Finn,92
Maya,83,Bodhi,92
Zara,81,Myles,91
Olive,81,Jasper,91
Alice,81,Grayson,87
Adeline,79,Flynn,86
Lola,77,Asher,85
Nora,77,Darcy,84
Harriet,77,Louie,81
Hannah,77,Reuben,80
Ayla,77,Finley,80
Phoebe,76,Felix,80
Margot,75,Joseph,79
Emily,75,Elias,79
Emilia,71,River,78
Pippa,70,Angus,78
Maggie,69,Maverick,77
Elizabeth,69,Atlas,77
Lottie,67,Vincent,76
Lyla,67,Malakai,76
Bella,67,Isaac,75
Peyton,66,Ryan,74
Elodie,65,Roman,72
Rosie,64,Jude,72
Stella,60,Colton,71
Savannah,59,Lennox,70
Harlow,59,Alfie,70
Charlie,58,Remy,69
Athena,58,Jordan,69
Rose,56,Daniel,69
Claire,56,Gabriel,68
Lilah,55,Ryder,67
Heidi,55,Spencer,67
Lilly,54,Oakley,67
Nevaeh,53,Charles,67
Kaia,53,Frederick,65
Addison,53,Connor,65
Aubrey,53,Ezekiel,64
Gracie,52,Hugh,64
Jasmine,51,Huxley,63
Eliana,51,Jacob,62
Imogen,51,Rory,61
Amara,51,John,61
Clara,51,August,61
