Given Name,Amount,Position
"CHARLOTTE","132","1"
"AVA","114","2"
"ISLA","110","3"
"HARPER","91","4"
"AMELIA","87","5"
"OLIVIA","86","6"
"MIA","85","7"
"ELLA","84","8"
"EVIE","82","9"
"GRACE","80","10"
"CHLOE","76","=11"
"SOPHIE","76","=11"
"RUBY","69","13"
"EMILY","63","14"
"ZOE","62","15"
"LILY","60","=16"
"LUCY","60","=16"
"WILLOW","60","=16"
"EVELYN","59","19"
"ARIA","57","=20"
"HANNAH","57","=20"
"ISABELLA","56","22"
"ZARA","53","23"
"SCARLETT","52","24"
"GEORGIA","51","25"
"MATILDA","49","26"
"SIENNA","47","27"
"IVY","46","28"
"ISABELLE","43","29"
"ALICE","41","=30"
"EVA","41","=30"
"MADDISON","40","32"
"ABIGAIL","38","=33"
"ELSIE","38","=33"
"MACKENZIE","38","=33"
"MILA","37","=36"
"POPPY","37","=36"
"SOPHIA","37","=36"
"ELLIE","36","=39"
"LAYLA","36","=39"
"AUDREY","35","=41"
"HAZEL","35","=41"
"IMOGEN","35","=41"
"MAYA","35","=41"
"EMMA","32","=45"
"PIPER","32","=45"
"SOFIA","32","=45"
"VIOLET","32","=45"
"ARIANA","30","=49"
"CLAIRE","30","=49"
"PENELOPE","30","=49"
"SAVANNAH","29","52"
"HARRIET","28","53"
"MADISON","27","54"
"SARAH","26","=55"
"STELLA","26","=55"
"ELEANOR","25","57"
"ANNABELLE","24","=58"
"DAISY","24","=58"
"FRANKIE","24","=58"
"FREYA","24","=58"
"LOLA","24","=58"
"ADDISON","23","=63"
"BILLIE","23","=63"
"LARA","23","=63"
"ANNA","22","=66"
"CHELSEA","22","=66"
"ELOISE","22","=66"
"LILLY","22","=66"
"ROSIE","22","=66"
"EDEN","21","=71"
"HARLOW","21","=71"
"JESSICA","21","=71"
"AALIYAH","20","=74"
"DELILAH","20","=74"
"ISABEL","20","=74"
"PAIGE","20","=74"
"AURORA","19","=78"
"DAKOTA","19","=78"
"OLIVE","19","=78"
"AYLA","18","=81"
"CHARLIE","18","=81"
"EMILIA","18","=81"
"SUMMER","18","=81"
"ALEXIS","17","=85"
"AUBREY","17","=85"
"ELISE","17","=85"
"ELIZA","17","=85"
"ESTHER","17","=85"
"QUINN","17","=85"
"SADIE","17","=85"
"BROOKLYN","16","=92"
"FLORENCE","16","=92"
"HOLLY","16","=92"
"JASMINE","16","=92"
"MILLIE","16","=92"
"PEYTON","16","=92"
"ALEXANDRA","15","=98"
"APRIL","15","=98"
"HEIDI","15","=98"
"INDIE","15","=98"
"ISOBEL","15","=98"
"KAYLEE","15","=98"
"LYLA","15","=98"
"MADELEINE","15","=98"
"MADELINE","15","=98"
"PHOEBE","15","=98"
"PIPPA","15","=98"
"CHARLI","14","=109"
"INDI","14","=109"
"LAURA","14","=109"
"LILA","14","=109"
"MILLA","14","=109"
"ALYSSA","13","=114"
"ARABELLA","13","=114"
"EBONY","13","=114"
"GRACIE","13","=114"
"MAGGIE","13","=114"
"MOLLY","13","=114"
"MYRA","13","=114"
"ADA","12","=121"
"ADELINE","12","=121"
"AISHA","12","=121"
"AMBER","12","=121"
"AMITY","12","=121"
"ANASTASIA","12","=121"
"BELLA","12","=121"
"CLARA","12","=121"
"EDITH","12","=121"
"MARLEY","12","=121"
"ROSE","12","=121"
"SKYLA","12","=121"
"ZAHRA","12","=121"
"ZOEY","12","=121"
"ALESSIA","11","=135"
"ALEXIA","11","=135"
"AMELIE","11","=135"
"ANNIE","11","=135"
"AUBREE","11","=135"
"BONNIE","11","=135"
"EDIE","11","=135"
"ELIANA","11","=135"
"HAYLEY","11","=135"
"LEAH","11","=135"
"LILLIAN","11","=135"
"LUNA","11","=135"
"MARYAM","11","=135"
"MYA","11","=135"
"VICTORIA","11","=135"
"ADELAIDE","10","=150"
"ELIZABETH","10","=150"
"GEORGINA","10","=150"
"INDIANA","10","=150"
"LACEY","10","=150"
"LILAH","10","=150"
"MARY","10","=150"
"MIKAYLA","10","=150"
"NEVAEH","10","=150"
"RILEY","10","=150"
"SARA","10","=150"
"SKYE","10","=150"
"THEA","10","=150"
"TILLY","10","=150"
"ALANA","9","=164"
"CAITLIN","9","=164"
"CATHERINE","9","=164"
"CLEO","9","=164"
"ESTELLE","9","=164"
"FAITH","9","=164"
"GABRIELLA","9","=164"
"HALLE","9","=164"
"IRIS","9","=164"
"LAILA","9","=164"
"LENA","9","=164"
"MACEY","9","=164"
"MAISIE","9","=164"
"RYLEE","9","=164"
"SELENA","9","=164"
"TAHLIA","9","=164"
"AIRLIE","8","=180"
"ANNABEL","8","=180"
"ANYA","8","=180"
"ASHA","8","=180"
"CALLIE","8","=180"
"CASSIDY","8","=180"
"ELENA","8","=180"
"EVE","8","=180"
"EVERLY","8","=180"
"LILLIANA","8","=180"
"LYDIA","8","=180"
"MAEVE","8","=180"
"NATALIA","8","=180"
"OCTAVIA","8","=180"
"SKYLAH","8","=180"
"TIANA","8","=180"
"ADELE","7","=196"
"AMY","7","=196"
"ANIKA","7","=196"
"ARIEL","7","=196"
"BROOKE","7","=196"
"CHARLEE","7","=196"
"ELKE","7","=196"
"GEMMA","7","=196"
"KEIRA","7","=196"
"KHLOE","7","=196"
"LEILA","7","=196"
"LEXI","7","=196"
"LOTTIE","7","=196"
"MABEL","7","=196"
"MACY","7","=196"
"MARGOT","7","=196"
"MARLEE","7","=196"
"NAOMI","7","=196"
"NINA","7","=196"
"RACHEL","7","=196"
"RIVER","7","=196"
"SAMARA","7","=196"
"SASHA","7","=196"
"SKYLAR","7","=196"
"STEVIE","7","=196"
"TAYLOR","7","=196"
"VIVIENNE","7","=196"
"ABBY","6","=223"
"ALANNAH","6","=223"
"ALLEGRA","6","=223"
"AMARA","6","=223"
"AMAYA","6","=223"
"ANAYA","6","=223"
"ANGEL","6","=223"
"ANGELA","6","=223"
"ANNELIESE","6","=223"
"ARIAH","6","=223"
"ARIANNA","6","=223"
"ASHER","6","=223"
"ASHLYN","6","=223"
"ASTRID","6","=223"
"ATHENA","6","=223"
"AUTUMN","6","=223"
"AVERY","6","=223"
"BRIANNA","6","=223"
"CELESTE","6","=223"
"CORA","6","=223"
"DELLA","6","=223"
"EADIE","6","=223"
"ESME","6","=223"
"ETTA","6","=223"
"FELICITY","6","=223"
"GENEVIEVE","6","=223"
"GEORGIE","6","=223"
"HARMONY","6","=223"
"HOPE","6","=223"
"INDIANNA","6","=223"
"JADE","6","=223"
"JEMIMA","6","=223"
"JOYCE","6","=223"
"KATE","6","=223"
"KATELYN","6","=223"
"KATIE","6","=223"
"LANA","6","=223"
"MACIE","6","=223"
"MAE","6","=223"
"MARIE","6","=223"
"MELODY","6","=223"
"MIRANDA","6","=223"
"NORAH","6","=223"
"SAANVI","6","=223"
"SIENA","6","=223"
"SIERRA","6","=223"
"TAYLA","6","=223"
"WYNTER","6","=223"
"ZAHLI","6","=223"
"ALEENA","5","=272"
"ALINA","5","=272"
"ALISON","5","=272"
"AMANI","5","=272"
"ANA","5","=272"
"ANITA","5","=272"
"ARYA","5","=272"
"ASPEN","5","=272"
"AYLAH","5","=272"
"BRIDGET","5","=272"
"COCO","5","=272"
"DIANA","5","=272"
"ELENI","5","=272"
"ELLIOT","5","=272"
"ELLIOTT","5","=272"
"ELORA","5","=272"
"EMERSON","5","=272"
"FATIMA","5","=272"
"GIA","5","=272"
"HALLIE","5","=272"
"HANNA","5","=272"
"INDIGO","5","=272"
"JESSIE","5","=272"
"JORDAN","5","=272"
"JULIA","5","=272"
"KALANI","5","=272"
"KAYLEIGH","5","=272"
"KELSEY","5","=272"
"LAUREN","5","=272"
"LEILANI","5","=272"
"LUELLA","5","=272"
"LYLAH","5","=272"
"MADDIE","5","=272"
"MILAH","5","=272"
"MILANA","5","=272"
"MORGAN","5","=272"
"MYAH","5","=272"
"NADIA","5","=272"
"NATALIE","5","=272"
"NICOLE","5","=272"
"PARIS","5","=272"
"PENNY","5","=272"
"PIA","5","=272"
"TAYLAH","5","=272"
"TESSA","5","=272"
"VALENTINA","5","=272"
"VERONICA","5","=272"
"ZIGGY","5","=272"
"AADHYA","4","=320"
"ACACIA","4","=320"
"ADELYN","4","=320"
"AIMEE","4","=320"
"ALIA","4","=320"
"AMREEN","4","=320"
"ANGELINA","4","=320"
"ASHLEY","4","=320"
"BEATRICE","4","=320"
"BETHANY","4","=320"
"BIANCA","4","=320"
"CAITLYN","4","=320"
"CLAUDIA","4","=320"
"CLEMENTINE","4","=320"
"DANA","4","=320"
"DANIELA","4","=320"
"DARCI","4","=320"
"DARCIE","4","=320"
