Given Name,Amount,Position
"OLIVER","172","1"
"WILLIAM","114","2"
"JACK","111","3"
"NOAH","100","4"
"HENRY","89","5"
"MASON","84","6"
"HARVEY","83","7"
"LEO","82","8"
"THOMAS","81","9"
"LUCAS","80","10"
"HARRISON","75","11"
"ARCHER","73","=12"
"HUNTER","73","=12"
"MAX","72","14"
"CHARLIE","71","=15"
"HARRY","71","=15"
"HUDSON","71","=15"
"JAMES","71","=15"
"LIAM","71","=15"
"OSCAR","70","20"
"LOGAN","68","21"
"ETHAN","64","22"
"SEBASTIAN","61","23"
"ARLO","60","24"
"RILEY","59","25"
"ARCHIE","58","=26"
"LEVI","58","=26"
"JACOB","57","=28"
"SAMUEL","57","=28"
"ALEXANDER","56","=30"
"GEORGE","56","=30"
"ELIJAH","55","32"
"ANGUS","54","=33"
"EDWARD","54","=33"
"BENJAMIN","53","=35"
"XAVIER","53","=35"
"ISAAC","51","37"
"FINN","50","=38"
"JACKSON","50","=38"
"LACHLAN","50","=38"
"PATRICK","50","=38"
"JOSHUA","47","42"
"ELI","46","43"
"THEODORE","45","44"
"JAXON","44","45"
"HUGO","43","46"
"CONNOR","42","=47"
"TYLER","42","=47"
"NATE","40","49"
"COOPER","37","50"
"AUSTIN","36","51"
"BODHI","35","=52"
"CARTER","35","=52"
"CHARLES","35","=52"
"LUCA","35","=52"
"MICHAEL","35","=52"
"AIDEN","34","=57"
"HAMISH","34","=57"
"ASHTON","33","=59"
"CALEB","33","=59"
"CHASE","33","=59"
"DARCY","33","=59"
"LINCOLN","33","=59"
"DANIEL","32","64"
"ASHER","31","=65"
"KAI","31","=65"
"MITCHELL","31","=65"
"OWEN","30","=68"
"RYAN","30","=68"
"GABRIEL","29","=70"
"RYDER","29","=70"
"BLAKE","28","=72"
"BRODIE","28","=72"
"JASPER","28","=72"
"FLYNN","27","=75"
"JORDAN","27","=75"
"LOUIS","27","=75"
"RORY","27","=75"
"JUDE","26","79"
"LEWIS","25","80"
"ALFIE","24","=81"
"JOSEPH","24","=81"
"PARKER","24","=81"
"TOBY","24","=81"
"BAILEY","23","=85"
"BEAU","23","=85"
"HARLEY","22","=87"
"JAYDEN","22","=87"
"NICHOLAS","22","=87"
"AXEL","21","=90"
"ELLIOT","21","=90"
"FELIX","21","=90"
"SONNY","21","=90"
"ZACHARY","21","=90"
"ALEX","20","=95"
"ARI","20","=95"
"ARTHUR","20","=95"
"BRAXTON","20","=95"
"JASON","20","=95"
"LUKE","20","=95"
"REUBEN","20","=95"
"ADAM","19","=102"
"EMMETT","19","=102"
"NATHANIEL","19","=102"
"WYATT","19","=102"
"DYLAN","18","=106"
"MARCUS","18","=106"
"MATTHEW","18","=106"
"PHOENIX","18","=106"
"SETH","18","=106"
"CONOR","17","=111"
"JAKE","17","=111"
"JAX","17","=111"
"LEONARDO","17","=111"
"REMY","17","=111"
"VINCENT","17","=111"
"BENTLEY","16","=117"
"BILLY","16","=117"
"DOMINIC","16","=117"
"FLETCHER","16","=117"
"JESSE","16","=117"
"JETT","16","=117"
"OLLIE","16","=117"
"PETER","16","=117"
"ANTONIO","15","=125"
"CASEY","15","=125"
"EZRA","15","=125"
"MAXWELL","15","=125"
"SAM","15","=125"
