Given Name,Amount,Position
"MICHELLE","343","1"
"LISA","230","2"
"KAREN","209","3"
"JODIE","182","4"
"JULIE","176","5"
"SUSAN","166","6"
"AMANDA","165","7"
"JOANNE","164","8"
"SHARON","159","9"
"TANIA","148","10"
"UNNAMED","144","11"
"REBECCA","139","12"
"KYLIE","131","13"
"CATHERINE","122","14"
"ANGELA","119","15"
"TRACEY","114","16"
"DONNA","111","17"
"NICOLE","110","=18"
"TANYA","110","=18"
"RACHEL","106","20"
"FIONA","101","=21"
"SAMANTHA","101","=21"
"TRACY","101","=21"
"LEANNE","100","24"
"WENDY","98","25"
"MELISSA","97","26"
"MARIA","94","27"
"ELIZABETH","92","28"
"ALISON","91","29"
"HELEN","90","30"
"JANE","87","=31"
"SANDRA","87","=31"
"JENNIFER","86","33"
"KERRY","82","=34"
"NATALIE","82","=34"
"SARAH","79","36"
"CAROLYN","75","37"
"BELINDA","73","=38"
"CHRISTINE","73","=38"
"KATHRYN","72","40"
"LOUISE","71","41"
"LINDA","70","=42"
"SUZANNE","70","=42"
"JACQUELINE","69","44"
"DEBORAH","67","45"
"VICKI","66","46"
"TERESA","62","47"
"ANNA","60","=48"
"TINA","60","=48"
"ROBYN","59","50"
"CHERYL","58","=51"
"SONYA","58","=51"
"SALLY","55","53"
"MEGAN","54","54"
"DEBRA","52","55"
"KATRINA","51","=56"
"NATASHA","51","=56"
"PAULA","48","58"
"VANESSA","47","59"
"ANDREA","44","60"
"HEATHER","43","=61"
"KELLY","43","=61"
"SONIA","43","=61"
"ANNE","41","=64"
"ANNETTE","41","=64"
"EMMA","39","66"
"BRONWYN","38","=67"
"DIANNE","38","=67"
"RACHAEL","38","=67"
"JUDITH","36","=70"
"KIM","36","=70"
"DANIELLE","35","=72"
"KATHERINE","35","=72"
"KIRSTY","35","=72"
"CAROL","34","=75"
"KATHLEEN","34","=75"
"MICHELE","34","=75"
"PATRICIA","34","=75"
"TRICIA","34","=75"
"CAROLINE","33","80"
"DENISE","32","=81"
"MARY","32","=81"
"SIMONE","31","83"
"JODY","30","=84"
"MANDY","30","=84"
"STEPHANIE","30","=84"
"GEORGINA","29","=87"
"KERRIE","29","=87"
"LYNETTE","29","=87"
"NAOMI","29","=87"
"TONI","29","=87"
"ANITA","28","=92"
"CINDY","28","=92"
"TAMMY","28","=92"
"ANN","27","=95"
"JO-ANNE","27","=95"
"JANINE","26","=97"
"JUSTINE","26","=97"
"LEAH","26","=97"
"MELINDA","26","=97"
"TRUDY","26","=97"
"VICTORIA","26","=97"
"BARBARA","25","=103"
"KELLIE","25","=103"
"PENELOPE","25","=103"
"SHARYN","25","=103"
"ANNE-MARIE","24","=107"
"JULIA","24","=107"
"KERRI","24","=107"
"MELANIE","24","=107"
"PETA","24","=107"
"MARGARET","23","112"
"DEBBIE","22","=113"
"DIANE","22","=113"
"BERNADETTE","21","=115"
"BRENDA","21","=115"
"HEIDI","21","=115"
"JOANNA","21","=115"
"KIRSTEN","21","=115"
"MARIE","21","=115"
"PAMELA","21","=115"
"PAULINE","21","=115"
"TIFFANY","21","=115"
"JAYNE","20","=124"
"KERRYN","20","=124"
"CHRISTINA","19","=126"
"DEANNE","19","=126"
"DIANA","19","=126"
"KYM","19","=126"
"LEONIE","19","=126"
"TAMARA","19","=126"
"TARA","19","=126"
"ALEXANDRA","18","=133"
"ANN-MARIE","18","=133"
"CHARMAINE","18","=133"
"CHERIE","18","=133"
"JANET","18","=133"
"LUCY","18","=133"
"VERONICA","18","=133"
"CATHRYN","17","=140"
"JODI","17","=140"
"LEE-ANNE","17","=140"
"NARELLE","17","=140"
"ROSEMARY","17","=140"
"SUSANNE","17","=140"
"ANTONIETTA","16","=146"
"JOSEPHINE","16","=146"
"SHELLEY","16","=146"
"SONJA","16","=146"
"ALLISON","15","=150"
"JENNY","15","=150"
"KATE","15","=150"
"NICOLA","15","=150"
