Given Name,Amount,Position
"ISLA","120","1"
"CHARLOTTE","110","2"
"OLIVIA","101","3"
"HARPER","95","4"
"AVA","91","5"
"AMELIA","88","=6"
"IVY","88","=6"
"GRACE","87","8"
"LILY","80","9"
"WILLOW","78","10"
"MIA","77","11"
"MATILDA","75","12"
"ELLA","70","13"
"HAZEL","66","14"
"EVIE","63","=15"
"VIOLET","63","=15"
"RUBY","62","17"
"CHLOE","61","18"
"SOPHIE","58","19"
"LUCY","57","20"
"ZOE","56","21"
"ELLIE","51","=22"
"ISABELLA","51","=22"
"EMILY","49","24"
"MILA","48","=25"
"SIENNA","48","=25"
"SOFIA","47","27"
"SOPHIA","46","28"
"DAISY","45","29"
"ELSIE","44","=30"
"EVELYN","44","=30"
"LAYLA","43","=32"
"MACKENZIE","43","=32"
"SCARLETT","43","=32"
"ALICE","42","=35"
"FRANKIE","42","=35"
"POPPY","42","=35"
"AUDREY","41","=38"
"DELILAH","41","=38"
"ELEANOR","40","=40"
"GEORGIA","40","=40"
"ZARA","40","=40"
"AYLA","39","43"
"ARIA","37","=44"
"AURORA","37","=44"
"HANNAH","37","=44"
"BILLIE","35","47"
"FLORENCE","34","=48"
"SADIE","34","=48"
"HARRIET","33","=50"
"ISABELLE","33","=50"
"LUNA","33","=50"
"CHARLIE","32","53"
"ROSIE","30","54"
"EMMA","29","=55"
"EVA","29","=55"
"ARIANA","28","=57"
"MAGGIE","28","=57"
"OLIVE","28","=57"
"ANNA","27","=60"
"ELOISE","27","=60"
"MAYA","27","=60"
"PENELOPE","27","=60"
"BONNIE","26","=64"
"CLAIRE","26","=64"
"ELIZA","26","=64"
"MILLIE","26","=64"
"MOLLY","26","=64"
"QUINN","26","=64"
"STELLA","26","=64"
"ADDISON","25","=71"
"EMILIA","25","=71"
"HALLIE","25","=71"
"PIPER","25","=71"
"ABIGAIL","24","=75"
"MADELINE","24","=75"
"FREYA","23","=77"
"GRACIE","23","=77"
"PIPPA","23","=77"
"SUMMER","23","=77"
"AUBREY","22","=81"
"ISABEL","22","=81"
"LYLA","22","=81"
"MARGOT","22","=81"
"PEYTON","22","=81"
"HARLOW","21","=86"
"LILLY","21","=86"
"MAISIE","21","=86"
"REMI","21","=86"
"STEVIE","21","=86"
"ANNABELLE","20","=91"
"BROOKLYN","20","=91"
"CLARA","20","=91"
"EDEN","20","=91"
"EVERLY","20","=91"
"MADISON","20","=91"
"MAEVE","20","=91"
"SAVANNAH","19","98"
"LARA","18","=99"
"LOLA","18","=99"
