Given Name,Amount,Position
"CHARLOTTE","128","1"
"GRACE","116","2"
"CHLOE","111","3"
"OLIVIA","109","4"
"EMILY","106","5"
"AVA","103","6"
"SOPHIE","102","7"
"AMELIA","101","8"
"MIA","100","9"
"ISABELLA","89","10"
"ELLA","83","11"
"ISLA","77","=12"
"RUBY","77","=12"
"SCARLETT","71","14"
"HARPER","68","15"
"LILY","65","16"
"SOPHIA","64","17"
"SIENNA","63","18"
"HANNAH","62","19"
"LUCY","59","20"
"ZOE","58","21"
"IVY","56","22"
"MADISON","55","=23"
"ZARA","55","=23"
"GEORGIA","52","25"
"IMOGEN","51","26"
"EVA","50","=27"
"MATILDA","50","=27"
"WILLOW","49","29"
"ISABELLE","48","=30"
"LAYLA","48","=30"
"ABIGAIL","47","=32"
"EVIE","47","=32"
"ELLIE","45","34"
"EMMA","44","35"
"ALEXIS","43","36"
"ALICE","42","=37"
"MADDISON","42","=37"
"MACKENZIE","41","39"
"ARIA","40","=40"
"SAVANNAH","40","=40"
"HOLLY","39","42"
"ADDISON","38","43"
"EVELYN","37","44"
"JASMINE","36","=45"
"LILLY","36","=45"
"SOFIA","36","=45"
"ANNABELLE","35","=48"
"ELSIE","35","=48"
"POPPY","35","=48"
"VIOLET","35","=48"
"STELLA","34","52"
"SARAH","33","53"
"SUMMER","32","54"
"ANNA","31","=55"
"CLAIRE","31","=55"
"ELOISE","31","=55"
"JESSICA","31","=55"
"MOLLY","31","=55"
"MILA","30","60"
"AUDREY","28","=61"
"PIPER","28","=61"
"ELIZA","27","63"
"ALYSSA","26","=64"
"INDIANA","26","=64"
"PAIGE","26","=64"
"MAYA","25","67"
"MADELINE","24","68"
"ARIANA","23","=69"
"ELIZABETH","23","=69"
"ESTHER","22","=71"
"JADE","22","=71"
"ANNABEL","21","=73"
"APRIL","21","=73"
"ASHA","21","=73"
"CHELSEA","21","=73"
"PENELOPE","21","=73"
"AYLA","20","=78"
"BELLA","20","=78"
"AMBER","19","=80"
"ANASTASIA","19","=80"
"BETHANY","19","=80"
"INDIE","19","=80"
"LILA","19","=80"
"TAHLIA","19","=80"
"AMY","18","=86"
"FRANKIE","18","=86"
"GRACIE","18","=86"
"PHOEBE","18","=86"
"SADIE","18","=86"
"TAYLOR","18","=86"
"ABBY","17","=92"
"AMELIE","17","=92"
"CHARLIE","17","=92"
"ELISE","17","=92"
"ISABEL","17","=92"
"LEXI","17","=92"
"NATALIE","17","=92"
"PEYTON","17","=92"
"DAISY","16","=100"
"DAKOTA","16","=100"
"EDEN","16","=100"
"LACEY","16","=100"
"SAMANTHA","16","=100"
"SKYE","16","=100"
"AALIYAH","15","=106"
"AURORA","15","=106"
"ELEANOR","15","=106"
"HALLE","15","=106"
"INDI","15","=106"
"LAURA","15","=106"
"LOLA","15","=106"
"MAGGIE","15","=106"
"OLIVE","15","=106"
"PIPPA","15","=106"
"ZOEY","15","=106"
"AMAYA","14","=117"
"BROOKLYN","14","=117"
"CAITLIN","14","=117"
"CHARLI","14","=117"
"EBONY","14","=117"
"EMILIA","14","=117"
"ESTELLE","14","=117"
"KIARA","14","=117"
"MACY","14","=117"
"MIKAYLA","14","=117"
"MILLA","14","=117"
"ROSIE","14","=117"
"ADELE","13","=129"
"AISHA","13","=129"
"ARYA","13","=129"
"BRIANNA","13","=129"
"ELENA","13","=129"
"HARRIET","13","=129"
"HOPE","13","=129"
"KAYLEE","13","=129"
"LARA","13","=129"
"MADELEINE","13","=129"
"QUINN","13","=129"
"VICTORIA","13","=129"
"ADELAIDE","12","=141"
"ARABELLA","12","=141"
"ASHLEY","12","=141"
"LILLIAN","12","=141"
"LUCINDA","12","=141"
"MAKENZIE","12","=141"
"MILLIE","12","=141"
"ROSE","12","=141"
"ALANA","11","=149"
"AMITY","11","=149"
"AUBREY","11","=149"
"CHARLEE","11","=149"
"CLARA","11","=149"
"ERIN","11","=149"
"FAITH","11","=149"
"GABRIELLA","11","=149"
"GEMMA","11","=149"
"HAYLEY","11","=149"
"LAUREN","11","=149"
"LEAH","11","=149"
"LYLA","11","=149"
"MADELYN","11","=149"
"MICHELLE","11","=149"
"DELILAH","10","=164"
"FLORENCE","10","=164"
"FREYA","10","=164"
"HANNA","10","=164"
"HAZEL","10","=164"
"HEIDI","10","=164"
"KAYLA","10","=164"
"KIRA","10","=164"
"LILAH","10","=164"
"MARLEY","10","=164"
"MARYAM","10","=164"
"MIRANDA","10","=164"
"TARA","10","=164"
"ALEXANDRA","9","=177"
"ALEXIA","9","=177"
"ARIANNA","9","=177"
"AUBREE","9","=177"
"BILLIE","9","=177"
"DARCY","9","=177"
"INDIANNA","9","=177"
"INDY","9","=177"
"ISOBEL","9","=177"
"JORDAN","9","=177"
"JOSEPHINE","9","=177"
"LEXIE","9","=177"
"NATALIA","9","=177"
"PEARL","9","=177"
"REBECCA","9","=177"
"SARA","9","=177"
"SHANAYA","9","=177"
"SHAYLA","9","=177"
"TAYLA","9","=177"
"VIVIENNE","9","=177"
"ALEXA","8","=197"
"ANGELA","8","=197"
"ANNIE","8","=197"
"BIANCA","8","=197"
"BONNIE","8","=197"
"DESTINY","8","=197"
"ELIANA","8","=197"
"ELSA","8","=197"
"HARMONY","8","=197"
"JENNIFER","8","=197"
"LANA","8","=197"
"LYDIA","8","=197"
"MACEY","8","=197"
"MAISIE","8","=197"
"MAKAYLA","8","=197"
"MARY","8","=197"
"MELODY","8","=197"
