Given Name,Number,Position
CHARLOTTE,139,1
OLIVIA,123,2
AVA,116,3
MIA,103,4
AMELIA,96,5
EVIE,94,6
EMILY,85,7
ISLA,84,8
RUBY,81,9
ELLA,80,10
SOPHIE,80,10
CHLOE,75,12
HARPER,75,12
GRACE,69,14
LILY,69,14
LUCY,68,16
IVY,67,17
MATILDA,66,18
ARIA,65,19
ISABELLA,65,19
EVELYN,64,21
ZOE,64,21
SCARLETT,56,23
SOPHIA,55,24
HANNAH,53,25
SIENNA,53,25
EVA,51,27
GEORGIA,50,28
ZARA,50,28
MADDISON,46,30
EMMA,43,31
MILA,43,31
AUDREY,42,33
ISABELLE,42,33
PIPER,42,33
WILLOW,42,33
VIOLET,41,37
SAVANNAH,40,38
LAYLA,39,39
ABIGAIL,38,40
IMOGEN,37,41
SARAH,34,42
ALICE,33,43
MACKENZIE,33,43
ELLIE,32,45
ADDISON,31,46
ANNA,31,46
HARRIET,30,48
MADISON,30,48
SOFIA,29,50
HAZEL,28,51
JASMINE,28,51
PAIGE,28,51
PEYTON,27,54
ESTHER,26,55
LARA,26,55
POPPY,26,55
ALEXIS,25,58
AYLA,25,58
PHOEBE,25,58
ELIZA,24,61
STELLA,24,61
CHELSEA,23,63
ELEANOR,22,64
LILLY,22,64
ALYSSA,21,66
ELOISE,21,66
EMILIA,21,66
FRANKIE,21,66
HOLLY,21,66
QUINN,21,66
SUMMER,21,66
DAISY,20,73
ELSIE,20,73
INDIANA,20,73
JESSICA,20,73
LOLA,20,73
OLIVE,20,73
ANNABELLE,19,79
CLAIRE,19,79
ISABEL,19,79
MAYA,19,79
PENELOPE,19,79
VICTORIA,19,79
CLARA,18,85
EBONY,18,85
ELISE,18,85
FLORENCE,18,85
HAYLEY,18,85
MADELINE,18,85
ARABELLA,17,91
BELLA,17,91
GRACIE,17,91
MAGGIE,17,91
NEVAEH,17,91
ADELINE,16,96
AMBER,16,96
ARIANA,16,96
KAYLEE,16,96
LACEY,16,96
LYLA,16,96
SADIE,16,96
SKYE,16,96
THEA,16,96
MADELEINE,15,105
MARIA,15,105
AALIYAH,14,107
ANASTASIA,14,107
AUBREY,14,107
BROOKLYN,14,107
HARLOW,14,107
MARLEY,14,107
PIPPA,14,107
ROSE,14,107
ALEXIA,13,115
CHARLI,13,115
ELENA,13,115
ELIZABETH,13,115
EVE,13,115
LILAH,13,115
MOLLY,13,115
NATALIE,13,115
SARA,13,115
ABBY,12,124
ADELE,12,124
AMELIE,12,124
FREYA,12,124
LILA,12,124
VALENTINA,12,124
ALANA,11,130
ANNABEL,11,130
ASHA,11,130
AURORA,11,130
BAILEY,11,130
BILLIE,11,130
HALLE,11,130
HEIDI,11,130
INDI,11,130
INDIE,11,130
ISOBEL,11,130
JADE,11,130
KAYLA,11,130
LEAH,11,130
LEILA,11,130
MABEL,11,130
MAISIE,11,130
MILLIE,11,130
ZAHRA,11,130
ZOEY,11,130
AMARA,10,150
AUBREE,10,150
AVERY,10,150
BETHANY,10,150
DAKOTA,10,150
EDEN,10,150
INDIGO,10,150
KENZIE,10,150
KIARA,10,150
LYDIA,10,150
MACEY,10,150
RILEY,10,150
WINTER,10,150
ADA,9,163
AISHA,9,163
ALEXA,9,163
ALICIA,9,163
ANNIE,9,163
CHARLIE,9,163
INDIANNA,9,163
