Given Name,Amount,Position
"OLIVER","181","1"
"NOAH","142","2"
"HENRY","121","3"
"LEO","108","4"
"ARCHIE","107","5"
"WILLIAM","93","6"
"HUDSON","90","7"
"LUCA","87","8"
"CHARLIE","83","=9"
"THOMAS","83","=9"
"LEVI","82","11"
"THEODORE","78","12"
"JACK","77","13"
"HUGO","76","14"
"HARRISON","75","15"
"HARVEY","70","16"
"HARRY","69","17"
"ELIJAH","68","=18"
"LUCAS","68","=18"
"ARLO","66","20"
"OSCAR","65","21"
"ARCHER","60","22"
"GEORGE","59","=23"
"JAMES","59","=23"
"MAX","58","25"
"ALEXANDER","57","=26"
"MASON","57","=26"
"ARTHUR","56","28"
"FINN","55","29"
"EDWARD","53","=30"
"KAI","53","=30"
"LINCOLN","51","=32"
"XAVIER","51","=32"
"SEBASTIAN","48","34"
"RILEY","46","35"
"BENJAMIN","45","=36"
"ETHAN","45","=36"
"HUNTER","44","=38"
"LOGAN","44","=38"
"LOUIS","43","=40"
"SONNY","43","=40"
"AUSTIN","41","=42"
"PATRICK","41","=42"
"JORDAN","40","44"
"COOPER","39","=45"
"ISAAC","39","=45"
"ELI","38","=47"
"HAMISH","38","=47"
"LACHLAN","38","=47"
"RIVER","37","50"
"ANGUS","36","=51"
"LIAM","36","=51"
"PARKER","36","=51"
"SAMUEL","36","=51"
"DARCY","34","=55"
"FELIX","34","=55"
"SPENCER","34","=55"
"BODHI","33","=58"
"LUKA","33","=58"
"MILES","33","=58"
"JACOB","31","=61"
"JASPER","31","=61"
"THEO","31","=61"
"OWEN","30","64"
"ALFIE","29","65"
"EZRA","28","66"
"JACKSON","27","=67"
"JOSHUA","27","=67"
"OLLIE","27","=67"
"RORY","27","=67"
"BEAU","26","=71"
"CHASE","26","=71"
"FLETCHER","26","=71"
"ASHER","25","=74"
"LENNY","25","=74"
"LEONARDO","25","=74"
"LOUIE","24","=77"
"MAXWELL","24","=77"
"RYAN","24","=77"
"ZACHARY","24","=77"
"ELLIOT","23","=81"
"GRAYSON","23","=81"
"JOSEPH","23","=81"
"REMY","23","=81"
"TYLER","23","=81"
"WYATT","23","=81"
"CONNOR","22","=87"
"FLYNN","22","=87"
"JAYDEN","22","=87"
"MUHAMMAD","22","=87"
"REUBEN","22","=87"
"TOMMY","22","=87"
"ASHTON","21","=93"
"CHARLES","21","=93"
"DANIEL","21","=93"
"NICHOLAS","21","=93"
"OAKLEY","21","=93"
"ZIGGY","21","=93"
"ARI","20","=99"
"BILLY","20","=99"
