Given Name,Amount,Position
"OLIVER","186","1"
"WILLIAM","134","2"
"JACK","125","3"
"NOAH","123","4"
"CHARLIE","103","5"
"LUCAS","102","6"
"THOMAS","96","7"
"ETHAN","86","8"
"LIAM","83","9"
"JAMES","81","10"
"LACHLAN","79","11"
"HENRY","78","12"
"MAX","77","13"
"HARRISON","74","14"
"RILEY","73","=15"
"SAMUEL","73","=15"
"HUDSON","71","17"
"ALEXANDER","69","=18"
"LEO","69","=18"
"LOGAN","67","20"
"ARCHIE","66","=21"
"OSCAR","66","=21"
"HARRY","65","=23"
"MASON","65","=23"
"ELIJAH","62","=25"
"ISAAC","62","=25"
"JACOB","62","=25"
"BENJAMIN","61","28"
"ARCHER","60","=29"
"SEBASTIAN","60","=29"
"LEVI","59","31"
"HUNTER","58","=32"
"TYLER","58","=32"
"NATE","55","=34"
"XAVIER","55","=34"
"ANGUS","53","36"
"COOPER","52","=37"
"GEORGE","52","=37"
"EDWARD","51","39"
"PATRICK","50","40"
"RYAN","49","41"
"DANIEL","48","42"
"HAMISH","45","=43"
"JAXON","45","=43"
"JACKSON","43","45"
"JOSHUA","42","=46"
"LUCA","42","=46"
"CONNOR","41","=48"
"JORDAN","41","=48"
"ELI","40","=50"
"HUGO","40","=50"
"LINCOLN","39","52"
"HARVEY","38","=53"
"JAYDEN","38","=53"
"JOSEPH","38","=53"
"MICHAEL","38","=53"
"ALEX","37","57"
"AUSTIN","36","=58"
"LOUIS","36","=58"
"MITCHELL","35","60"
"NATHAN","34","=61"
"RYDER","34","=61"
"ZACHARY","34","=61"
"AIDEN","33","=64"
"ASHTON","33","=64"
"CHASE","33","=64"
"KAI","33","=64"
"BLAKE","32","=68"
"FLYNN","32","=68"
"CALEB","31","=70"
"LUKE","31","=70"
"MATTHEW","31","=70"
"OWEN","30","73"
"JASPER","29","74"
"BEAU","28","=75"
"HAYDEN","28","=75"
"BAILEY","27","=77"
"FINN","27","=77"
"JETT","27","=77"
"PARKER","27","=77"
"CARTER","26","=81"
"OLLIE","26","=81"
"SPENCER","26","=81"
"BRAXTON","25","=84"
"CHARLES","25","=84"
"JAKE","25","=84"
"NICHOLAS","25","=84"
"RORY","25","=84"
"THEODORE","25","=84"
"BRODIE","24","=90"
"MARCUS","24","=90"
"HARLEY","23","=92"
"JESSE","23","=92"
"JUDE","23","=92"
"SETH","23","=92"
"DYLAN","21","=96"
"FELIX","21","=96"
"NATHANIEL","21","=96"
"GABRIEL","20","=99"
"HUGH","20","=99"
"LEWIS","20","=99"
"ZAC","20","=99"
"AIDAN","19","=103"
"CODY","19","=103"
"DECLAN","19","=103"
"ADAM","18","=106"
"ANTHONY","18","=106"
"ARLO","18","=106"
"JONATHAN","18","=106"
"MAXWELL","18","=106"
"TOBIAS","18","=106"
"ASHER","17","=112"
"BODHI","17","=112"
"DAVID","17","=112"
"ELLIOT","17","=112"
"TYSON","17","=112"
"WYATT","17","=112"
"ALFIE","16","=118"
"DARCY","16","=118"
"JAX","16","=118"
"JOEL","16","=118"
"LEONARDO","16","=118"
"PHOENIX","16","=118"
"ROBERT","16","=118"
"ANDREW","15","=125"
"ARI","15","=125"
"ARTHUR","15","=125"
"DOMINIC","15","=125"
"FLETCHER","15","=125"
"ISAIAH","15","=125"
"JAI","15","=125"
"JAMIE","15","=125"
"JEREMY","15","=125"
"TATE","15","=125"
"ABEL","14","=135"
"CAMERON","14","=135"
"CRUZ","14","=135"
"EZRA","14","=135"
"JASON","14","=135"
"JOHN","14","=135"
"RHYS","14","=135"
"TOBY","14","=135"
"VINCENT","14","=135"
"AARAV","13","=144"
"AARON","13","=144"
"ALI","13","=144"
"CHRISTOPHER","13","=144"
"DEXTER","13","=144"
"LUKA","13","=144"
"AXEL","12","=150"
"BILLY","12","=150"
"CALLUM","12","=150"
"ELLIOTT","12","=150"
"EVAN","12","=150"
"FREDERICK","12","=150"
"REUBEN","12","=150"
"SILAS","12","=150"
"BRAYDEN","11","=158"
"BROCK","11","=158"
"BRODY","11","=158"
"JAXSON","11","=158"
"JULIAN","11","=158"
"KAYDEN","11","=158"
"ADRIAN","10","=164"
"ALBERT","10","=164"
"ALESSIO","10","=164"
"ANTONIO","10","=164"
"BOSTON","10","=164"
"CHRISTIAN","10","=164"
"ERIC","10","=164"
"KADE","10","=164"
"LENNY","10","=164"
"MOHAMMAD","10","=164"
"MUHAMMAD","10","=164"
"NASH","10","=164"
"SONNY","10","=164"
"ZAVIER","10","=164"
"ANDREAS","9","=178"
"COHEN","9","=178"
"DION","9","=178"
"JONAH","9","=178"
"JOSIAH","9","=178"
"KOBE","9","=178"
"KYLE","9","=178"
"LEON","9","=178"
"NED","9","=178"
"ORLANDO","9","=178"
"SAM","9","=178"
"STEFAN","9","=178"
"TAYLOR","9","=178"
"BENTLEY","8","=191"
"DANTE","8","=191"
"ELIAS","8","=191"
"GRAYSON","8","=191"
"JUSTIN","8","=191"
"KAIDEN","8","=191"
"MATTEO","8","=191"
"MICAH","8","=191"
"PETER","8","=191"
"ROCCO","8","=191"
"ROWAN","8","=191"
"VICTOR","8","=191"
"ALFRED","7","=203"
"ALISTAIR","7","=203"
"ANDRE","7","=203"
"CALVIN","7","=203"
"CASEY","7","=203"
"DOUGLAS","7","=203"
"DUSTIN","7","=203"
"EMMANUEL","7","=203"
"FINLEY","7","=203"
"FREDDIE","7","=203"
"IBRAHIM","7","=203"
"JAKOB","7","=203"
"JAY","7","=203"
"JED","7","=203"
"JENSEN","7","=203"
"JEREMIAH","7","=203"
"JOSH","7","=203"
"JUDD","7","=203"
"KALEB","7","=203"
"KINGSTON","7","=203"
"KOBY","7","=203"
"LOCHLAN","7","=203"
"MYLES","7","=203"
"RAFAEL","7","=203"
"RAPHAEL","7","=203"
"RIVER","7","=203"
"SEAN","7","=203"
"TAIT","7","=203"
"TAJ","7","=203"
"TEX","7","=203"
"TIMOTHY","7","=203"
"TOMMY","7","=203"
"ZANDER","7","=203"
"ABDULLAH","6","=236"
"AHMAD","6","=236"
"ALBY","6","=236"
"ASTON","6","=236"
"BRANDON","6","=236"
"BRUCE","6","=236"
"EDDIE","6","=236"
"EMMETT","6","=236"
"HEATH","6","=236"
"HENLEY","6","=236"
"JARED","6","=236"
"KANE","6","=236"
"KHAI","6","=236"
"LENNOX","6","=236"
"MALACHI","6","=236"
"MALIK","6","=236"
"MARLEY","6","=236"
"MILES","6","=236"
"MONTY","6","=236"
"OAKLEY","6","=236"
"PAUL","6","=236"
"ROMAN","6","=236"
"RUBEN","6","=236"
"RYLAN","6","=236"
"SAXON","6","=236"
"STEVEN","6","=236"
"TANNER","6","=236"
"TED","6","=236"
"THEO","6","=236"
"TRAVIS","6","=236"
"TRISTAN","6","=236"
"VINCENZO","6","=236"
"WALTER","6","=236"
