Given Name,Number,Position
OLIVER,190,1
JACK,129,2
WILLIAM,117,3
JAMES,100,4
MASON,100,4
HENRY,96,6
NOAH,96,6
LUCAS,93,8
ETHAN,89,9
LIAM,82,10
MAX,82,10
HARRISON,79,12
OSCAR,78,13
ARCHER,77,14
HUDSON,77,14
CHARLIE,74,16
HUNTER,73,17
LACHLAN,73,17
THOMAS,73,17
LOGAN,71,20
HARRY,70,21
ALEXANDER,64,22
SAMUEL,63,23
LEO,62,24
LEVI,59,25
RILEY,58,26
HAMISH,57,27
SEBASTIAN,54,28
ELI,53,29
ELIJAH,53,29
XAVIER,53,29
ARLO,51,32
JACOB,51,32
PATRICK,50,34
ANGUS,48,35
COOPER,48,35
ISAAC,48,35
JACKSON,48,35
HARVEY,47,39
BLAKE,46,40
JORDAN,46,40
CONNOR,45,42
LINCOLN,45,42
GEORGE,44,44
JAYDEN,44,44
JOSHUA,44,44
AIDEN,43,47
ARCHIE,43,47
FINN,43,47
TYLER,43,47
BENJAMIN,41,51
JAXON,41,51
LOUIS,41,51
AUSTIN,40,54
EDWARD,40,54
DANIEL,38,56
NATE,38,56
CHASE,37,58
LUCA,37,58
RYAN,37,58
ASHTON,35,61
HUGO,35,61
KAI,33,63
RYDER,32,64
PARKER,31,65
CALEB,30,66
LUKE,30,66
MAXWELL,30,66
SPENCER,30,66
THEODORE,30,66
FELIX,29,71
ZACHARY,29,71
DYLAN,28,73
FLYNN,28,73
ADAM,26,75
MATTHEW,25,76
MICHAEL,25,76
RORY,25,76
SETH,25,76
JASPER,24,80
JOSEPH,24,80
ASHER,23,82
NICHOLAS,23,82
CARTER,22,84
JAKE,22,84
LEWIS,22,84
ORLANDO,22,84
TOBY,22,84
ARTHUR,21,89
BODHI,21,89
CAMERON,21,89
DOMINIC,21,89
FLETCHER,21,89
NATHANIEL,21,89
OWEN,21,89
ALEX,20,96
ANTHONY,20,96
CHRISTIAN,20,96
ELLIOT,20,96
HARLEY,20,96
JETT,20,96
LEON,20,96
MITCHELL,20,96
ALFIE,19,104
BRODIE,19,104
MUHAMMAD,19,104
