First Name,Amount,Position
"CHARLOTTE","108","1"
"OLIVIA","89","2"
"ISLA","86","3"
"AMELIA","70","4"
"MIA","67","5"
"LILY","64","6"
"HAZEL","63","7"
"IVY","62","8"
"GRACE","61","=9"
"MATILDA","61","=9"
"ISABELLA","60","11"
"ELLA","59","12"
"HARPER","58","13"
"AVA","57","14"
"SOPHIE","56","=15"
"WILLOW","56","=15"
"ELSIE","54","=17"
"EVELYN","54","=17"
"EVIE","54","=17"
"ELLIE","52","20"
"ELEANOR","47","21"
"CHLOE","46","=22"
"VIOLET","46","=22"
"DAISY","44","=24"
"RUBY","44","=24"
"SOPHIA","44","=24"
"ARIA","43","=27"
"LUCY","43","=27"
"MAEVE","43","=27"
"SOFIA","41","30"
"MILLIE","40","31"
"ELOISE","39","=32"
"HARRIET","39","=32"
"SADIE","39","=32"
"ROSIE","38","35"
"FLORENCE","37","36"
"MILA","36","=37"
"POPPY","36","=37"
"SIENNA","36","=37"
"AUDREY","35","=40"
"HALLIE","35","=40"
"BILLIE","34","42"
"IMOGEN","33","=43"
"LAYLA","33","=43"
"ZOE","33","=43"
"AYLA","32","=46"
"GEORGIA","32","=46"
"ZARA","32","=46"
"LUNA","31","=49"
"OLIVE","31","=49"
"SCARLETT","31","=49"
"ALICE","30","52"
"FRANKIE","29","=53"
"ISABELLE","29","=53"
"SUMMER","29","=53"
"LOLA","28","=56"
"MAGGIE","28","=56"
"AURORA","27","=58"
"EMILIA","27","=58"
"MARGOT","27","=58"
"PENELOPE","27","=58"
"REMI","27","=58"
"ABIGAIL","25","=63"
"ADELINE","25","=63"
"FREYA","25","=63"
"MAISIE","25","=63"
"EMILY","24","=67"
"HANNAH","24","=67"
"MAYA","24","=67"
"PIPER","24","=67"
"BONNIE","23","=71"
"DELILAH","23","=71"
"EDEN","23","=71"
"ELIANA","23","=71"
"MACKENZIE","22","75"
"ELIZA","21","=76"
"SAVANNAH","21","=76"
"ADA","20","=78"
"EMMA","20","=78"
"EVA","20","=78"
"LOTTIE","20","=78"
"PIPPA","20","=78"
"ELODIE","19","=83"
"STELLA","19","=83"
"ANNABELLE","18","=85"
"AUBREY","18","=85"
"QUINN","18","=85"
"AMBER","17","=88"
"CHARLIE","17","=88"
"CORA","17","=88"
"LILAH","17","=88"
"LYLA","17","=88"
"MADDISON","17","=88"
"MADELINE","17","=88"
"AMARA","16","=95"
"ELENA","16","=95"
"NORA","16","=95"
"OCTAVIA","16","=95"
"PAISLEY","16","=95"
"PHOEBE","16","=95"
"ARIANA","15","=101"
"BELLA","15","=101"
"JUNIPER","15","=101"
"MABEL","15","=101"
"MADISON","15","=101"
"SAGE","15","=101"
"SARAH","15","=101"
"FATIMA","14","=108"
"GABRIELLA","14","=108"
"HOLLY","14","=108"
"LARA","14","=108"
"MARLEY","14","=108"
"NINA","14","=108"
"VALERIE","14","=108"
"ZAHRA","14","=108"
"AIRLIE","13","=116"
"AMALIA","13","=116"
"ATHENA","13","=116"
"CLEMENTINE","13","=116"
"ELISE","13","=116"
"PAIGE","13","=116"
"PEYTON","13","=116"
"ZOEY","13","=116"
"CHARLI","12","=124"
"CLAIRE","12","=124"
"GRACIE","12","=124"
"JASMINE","12","=124"
"LAINEY","12","=124"
"RIVER","12","=124"
"RYLEE","12","=124"
"ARIELLA","11","=131"
"ARYA","11","=131"
"ASTRID","11","=131"
"CALLIE","11","=131"
"CLARA","11","=131"
"ESME","11","=131"
"GEORGIE","11","=131"
"HARLOW","11","=131"
"ISABEL","11","=131"
"LEAH","11","=131"
"LILA","11","=131"
"MOLLY","11","=131"
"TILLY","11","=131"
"ANAYA","10","=144"
"ARABELLA","10","=144"
"AURELIA","10","=144"
"CELINE","10","=144"
"DAPHNE","10","=144"
"ELLE","10","=144"
"ESTELLE","10","=144"
"EVERLY","10","=144"
"INDIE","10","=144"
"KAIA","10","=144"
"KIARA","10","=144"
"LACEY","10","=144"
"LUCIA","10","=144"
"MARYAM","10","=144"
"MYA","10","=144"
"NEVAEH","10","=144"
"RILEY","10","=144"
"ROSE","10","=144"
"VALENTINA","10","=144"
"VIVIENNE","10","=144"
"AIRA","9","=164"
"ALINA","9","=164"
"ANNA","9","=164"
"AUTUMN","9","=164"
"CLEO","9","=164"
"GISELLE","9","=164"
"GOLDIE","9","=164"
"INDIANA","9","=164"
"IRIS","9","=164"
"MAISY","9","=164"
"MARIA","9","=164"
"OAKLEY","9","=164"
"OPHELIA","9","=164"
"SARA","9","=164"
