First Name,Amount,Position
"OLIVER","131","1"
"HENRY","125","2"
"NOAH","105","3"
"CHARLIE","101","4"
"THEODORE","98","5"
"LEO","92","6"
"LEVI","91","7"
"WILLIAM","80","8"
"JACK","78","9"
"LUCA","75","10"
"HARVEY","74","11"
"ELIJAH","67","12"
"OSCAR","66","13"
"ARCHIE","65","14"
"LUCAS","64","15"
"ARCHER","63","16"
"HUDSON","59","17"
"THOMAS","58","18"
"GEORGE","57","19"
"DARCY","56","20"
"HUGO","55","21"
"JAMES","54","22"
"ARLO","52","=23"
"SEBASTIAN","52","=23"
"ALEXANDER","51","=25"
"KAI","51","=25"
"MAX","50","27"
"HARRISON","49","28"
"ARTHUR","48","29"
"HARRY","44","30"
"ISAAC","43","=31"
"LIAM","43","=31"
"AUSTIN","42","33"
"XAVIER","41","34"
"EDWARD","39","=35"
"HUNTER","39","=35"
"LINCOLN","39","=35"
"GRAYSON","38","=38"
"LACHLAN","38","=38"
"MILES","37","=40"
"OLLIE","37","=40"
"ANGUS","36","=42"
"BEAU","36","=42"
"MASON","36","=42"
"ETHAN","35","=45"
"LOUIS","35","=45"
"RORY","35","=45"
"LOUIE","34","=48"
"PARKER","34","=48"
"RILEY","34","=48"
"ASHER","33","=51"
"BENJAMIN","33","=51"
"BODHI","33","=51"
"JORDAN","33","=51"
"JACOB","32","=55"
"JAYDEN","32","=55"
"THEO","32","=55"
"ELI","31","=58"
"FINN","31","=58"
"FINLEY","30","=60"
"JUDE","30","=60"
"LOGAN","30","=60"
"HAMISH","29","=63"
"OAKLEY","29","=63"
"PATRICK","29","=63"
"CONNOR","28","=66"
"JACKSON","28","=66"
"JASPER","28","=66"
"LEON","28","=66"
"MUHAMMAD","28","=66"
"ORLANDO","28","=66"
"SPENCER","28","=66"
"JOSEPH","27","=73"
"SONNY","27","=73"
"ELLIOT","26","=75"
"JOSHUA","26","=75"
"LUKA","26","=75"
"EZRA","25","=78"
"MICHAEL","25","=78"
"ALFIE","24","=80"
"ALFRED","24","=80"
"CARTER","24","=80"
"LEONARDO","24","=80"
"MYLES","24","=80"
"BILLY","23","=85"
"CHARLES","23","=85"
"MAXWELL","23","=85"
"OTIS","23","=85"
"RIVER","23","=85"
"SAMUEL","23","=85"
"ALI","22","=91"
"COOPER","22","=91"
"REMY","22","=91"
"TOMMY","21","94"
"ELIAS","20","=95"
"FLYNN","20","=95"
"MARCUS","20","=95"
"AIDEN","19","=98"
"ASHTON","19","=98"
"FELIX","19","=98"
"FLETCHER","19","=98"
"JESSE","19","=98"
"JOEY","19","=98"
"KOA","19","=98"
"MALAKAI","19","=98"
"OWEN","19","=98"
"AUGUST","18","=107"
"DOMINIC","18","=107"
"ISAIAH","18","=107"
"JETT","18","=107"
"REUBEN","18","=107"
"RYDER","18","=107"
"ATLAS","17","=113"
"BAILEY","17","=113"
"GABRIEL","17","=113"
"ARI","16","=116"
"FREDERICK","16","=116"
"HENDRIX","16","=116"
"LENNY","16","=116"
"LUKE","16","=116"
"WYATT","16","=116"
"ZACHARY","16","=116"
"ZORAWAR","16","=116"
"ALBERT","15","=124"
"CALEB","15","=124"
"CHRISTIAN","15","=124"
"CHRISTOPHER","15","=124"
"CODY","15","=124"
"HENLEY","15","=124"
"HUGH","15","=124"
"MAVERICK","15","=124"
"RYAN","15","=124"
"SULLIVAN","15","=124"
"VINCENT","15","=124"
"ALBY","14","=135"
"AXEL","14","=135"
"ELLIOTT","14","=135"
"MATTEO","14","=135"
"NICHOLAS","14","=135"
"PETER","14","=135"
"RAPHAEL","14","=135"
"ROMAN","14","=135"
"TATE","14","=135"
"TOBIAS","14","=135"
"ADAM","13","=145"
"BRAXTON","13","=145"
"DANIEL","13","=145"
"DYLAN","13","=145"
"EZEKIEL","13","=145"
"HUXLEY","13","=145"
"LEWIS","13","=145"
"REMI","13","=145"
"RUPERT","13","=145"
"TED","13","=145"
"TOBY","13","=145"
"ALBIE","12","=156"
"BOWIE","12","=156"
"CHASE","12","=156"
"DECLAN","12","=156"
"MALIK","12","=156"
"MILO","12","=156"
