name,number,sex,year
Oliver,509,Male,2017
William,466,Male,2017
Jack,450,Male,2017
Noah,372,Male,2017
Thomas,345,Male,2017
James,323,Male,2017
Lucas,315,Male,2017
Henry,282,Male,2017
Charlie,280,Male,2017
Ethan,279,Male,2017
Alexander,264,Male,2017
Xavier,263,Male,2017
Leo,263,Male,2017
Mason,259,Male,2017
Liam,253,Male,2017
Max,241,Male,2017
Harry,238,Male,2017
Harvey,236,Male,2017
Oscar,230,Male,2017
Samuel,225,Male,2017
Isaac,221,Male,2017
Levi,216,Male,2017
Logan,213,Male,2017
Benjamin,211,Male,2017
Harrison,204,Male,2017
Joshua,200,Male,2017
Ryan,199,Male,2017
Archie,195,Male,2017
Lachlan,188,Male,2017
Patrick,186,Male,2017
Hudson,184,Male,2017
Sebastian,183,Male,2017
Jacob,183,Male,2017
Archer,183,Male,2017
Hunter,182,Male,2017
Elijah,182,Male,2017
Cooper,180,Male,2017
Edward,168,Male,2017
George,167,Male,2017
Daniel,154,Male,2017
Jordan,150,Male,2017
Luca,148,Male,2017
Theodore,144,Male,2017
Zachary,143,Male,2017
Hugo,143,Male,2017
Aiden,143,Male,2017
Arlo,142,Male,2017
Darcy,141,Male,2017
Jackson,137,Male,2017
Finn,133,Male,2017
Jayden,127,Male,2017
Lincoln,126,Male,2017
Jaxon,122,Male,2017
Eli,121,Male,2017
Muhammad,119,Male,2017
Flynn,115,Male,2017
Adam,111,Male,2017
Hamish,110,Male,2017
Spencer,109,Male,2017
Riley,107,Male,2017
Louis,107,Male,2017
Austin,106,Male,2017
Angus,105,Male,2017
Kai,104,Male,2017
Michael,101,Male,2017
Matthew,101,Male,2017
Jasper,101,Male,2017
Charles,101,Male,2017
Ali,101,Male,2017
Gabriel,100,Male,2017
Connor,99,Male,2017
Blake,98,Male,2017
Joseph,97,Male,2017
Caleb,97,Male,2017
Nate,93,Male,2017
Nicholas,92,Male,2017
Tyler,91,Male,2017
Sonny,88,Male,2017
Dylan,87,Male,2017
Ashton,82,Male,2017
Toby,80,Male,2017
Ryder,80,Male,2017
Luke,80,Male,2017
Nathan,79,Male,2017
Owen,76,Male,2017
Fletcher,76,Male,2017
Billy,76,Male,2017
Jude,73,Male,2017
Arthur,73,Male,2017
Lewis,72,Male,2017
Felix,72,Male,2017
Maxwell,71,Male,2017
Jake,71,Male,2017
Parker,70,Male,2017
Leonardo,68,Male,2017
Jesse,68,Male,2017
Leon,67,Male,2017
Ari,67,Male,2017
Asher,66,Male,2017
Aaron,66,Male,2017
Charlotte,426,Female,2017
Olivia,360,Female,2017
Amelia,357,Female,2017
Ava,347,Female,2017
Mia,319,Female,2017
Zoe,299,Female,2017
Evie,284,Female,2017
Grace,283,Female,2017
Isla,282,Female,2017
Ella,248,Female,2017
Chloe,247,Female,2017
Sophie,246,Female,2017
Isabella,241,Female,2017
Harper,239,Female,2017
Emily,239,Female,2017
Evelyn,224,Female,2017
Matilda,223,Female,2017
Lily,218,Female,2017
Ivy,218,Female,2017
Ruby,215,Female,2017
Lucy,208,Female,2017
Hannah,193,Female,2017
Scarlett,191,Female,2017
Zara,190,Female,2017
Emma,186,Female,2017
